;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);parameters full;log parameters;source;worksheet name;amount
16feeebec78b9a07306a14701268c2a9;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;16feeebec78b9a07306a14701268c2a9;market for bottom ash, MSWI-WWT, WW from black chrome coating;bottom ash, MSWI-WWT, WW from black chrome coating;kilogram;1.820549659106216e-05;5.004908215365068e-07;-1.2979193487325081e-07;-2.0883876847434642e-10;1.0000560101229805;-3.4336617866136242e-12;-7.914557707911006e-05;-3.815179526026501e-13;-0.033645019455936356;0.0;0.0;-5.026061207051489e-06;-0.00024568937023529555;-8.124601693961444e-05;0.9307139846504512;-3.382891008451283e-08;-0.0003806064278568251;-1.1401958085959516e-07;-8.569092435141265e-05;-6.0598556251254825e-09;-0.005948250129695041;-2.570080993085187e-05;0.0;-2.6692451203722595e-06;-1.1600502222712875e-12;-1.2515070476033394e-10;-6.016691373840532e-07;-3.771050356253791e-10;-2.841036136436303e-14;-1.4631953354790058e-08;-1.5690150344124115e-07;-2.2100205174618881e-07;0.0;-6.285403448616946e-08;-5.168583915171286e-12;-0.006756159406480757;-2.2868493532165675e-05;-1.879821143592385e-09;-5.866330972307705e-08;-6.010848498171874e-15;-0.0009003560365595896;0.0;-1.1145874158510168e-06;-2.981798547381527e-07;-2.8798304145938587e-09;-2.7392536892493834e-09;0.0;-4.64212905782352e-08;-1.4117940401804934e-05;-1.3525552805238045e-06;;;;;
3e589ec10908d760d052385114ca2044;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3e589ec10908d760d052385114ca2044;market for powertrain, for electric scooter;powertrain, for electric scooter;kilogram;-0.0012968367620248185;-2.8175725511038433e-05;8.253678212516942e-05;2.7086085274307814e-06;-0.2784603587338267;6.52656959637454e-08;-0.10441502841287438;7.251743545724203e-09;2.3581702313323856;0.0;0.0;0.018494998716729494;0.4091385397237469;0.16976735346566865;7.61329627661791;8.176083097770635e-07;0.7912707484801158;0.004122782432647655;0.1730125129351682;2.116352742522401e-06;4.694416031556596;0.2558105643306454;0.0;0.004260907470566221;3.821817968270834e-09;7.1841718410248464e-06;0.0013766342431623187;3.345757572609736e-05;3.1721616311332674e-07;1.9361278523221603e-05;3.3862790051144473e-06;4.7629463971723143e-05;0.0;0.0004129756409859152;7.103675936971984e-07;0.3932680922984274;0.012766023338911492;4.135724932089885e-08;0.011698610629243973;3.143400918207774e-13;0.48759502656074327;0.0;0.020173236866986063;0.00013255713794544809;1.3965034855772007e-05;0.00014602644184778332;0.0;3.187728294709838e-05;0.001459191457079672;0.022727802396753878;;;;;
077395d23d3dc7d266b094eb0f53d1bb;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;077395d23d3dc7d266b094eb0f53d1bb;market for bagasse, from sugarcane;bagasse, from sugarcane;kilogram;-4.946769713573658e-06;-5.590548309691801e-08;2.3639698769454697e-08;9.327444079361352e-11;-2.3365599408356548e-05;1.5057849057806116e-12;4.104776449025158e-05;1.673094235876871e-13;0.007012573258840138;0.0;0.0;1.2485015689323284e-05;0.00035701237949590007;2.1490555990309462e-05;0.01739526895569619;6.185488728678913e-09;0.00012396744497259352;7.806819576615117e-08;5.997375099903106e-05;1.7804258048048905e-09;0.0034627254339314965;1.3646972594437145e-05;0.0;1.5948033106527123e-06;6.637527302338892e-13;1.38926853659191e-10;1.3344525077456488e-07;6.560191486051053e-10;6.1467193903551735e-15;1.3751257238707422e-08;6.044305256669798e-08;4.423485591492297e-08;0.0;1.8501641273423056e-07;5.560050568030686e-12;0.0012924146285696156;0.001287180393387386;3.492652858919729e-10;1.112382542327461e-08;5.92166264764719e-16;0.00040857562623957126;0.0;4.876672181313442e-07;5.505069644884337e-08;2.7686980609625258e-09;2.1400609502093102e-09;0.0;1.1867493162789123e-07;3.0295209603577365e-06;1.5106395417112715e-06;;;;;
ebd55a724dbb3e0e96912a715d231775;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ebd55a724dbb3e0e96912a715d231775;market for antimony slag, desulfurised;antimony slag, desulfurised;kilogram;4.207700836045396e-05;2.742222430343856e-06;-1.649296481018503e-07;-5.320667423709972e-10;0.000128001125565755;-8.742191858451108e-12;-0.00019505923458944604;-9.713545906293803e-13;-0.08378008988178415;0.0;0.0;-9.81566726550181e-06;-0.0005323088693388332;-0.000156672610373513;-0.1719855955321283;-8.356251878271975e-08;-0.0009579792157719366;-3.0532987546583574e-07;-0.00023028189305221964;-1.518150131542679e-08;-0.01662700887350117;-6.391882954464491e-05;0.0;-5.613882109084168e-06;-2.973916329598978e-12;-2.883120423235262e-10;-1.4946779315944758e-06;-8.297600762881142e-10;-7.078995979217803e-14;-2.756824915254273e-08;-3.876529849333022e-07;-5.470950925852277e-07;0.0;-1.6291669499233613e-07;-1.1961435323752787e-11;-0.01586594152535427;-5.6825748073814434e-05;-4.642020030252703e-09;-1.4485682224400004e-07;-2.7789481262956792e-14;-0.0024273021213806764;0.0;-2.8437998714009924e-06;-7.366553138734176e-07;-7.035902272027791e-09;-6.504645146517073e-09;0.0;-1.0495975630806959e-07;-4.046134670358147e-05;-3.1588045786497755e-06;;;;;
b045ec2262a7210bb2b95726ca5cf545;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b045ec2262a7210bb2b95726ca5cf545;market for fermentation filtrate;fermentation filtrate;kilogram;-8.904145111234815e-07;-7.168805712268338e-10;2.812839858048408e-09;1.0606007795950835e-11;-1.6494098018837613e-06;1.7507372657365228e-13;5.916930758012847e-06;1.9452635078182793e-14;0.002028508794239945;0.0;0.0;1.9349464584525432e-07;8.872383754420269e-06;3.153638915637903e-06;0.004139212166342607;2.068972996080082e-09;2.286752380202259e-05;6.404300599911676e-09;4.076244448109946e-06;2.9186063910905505e-10;0.0002913454828858695;1.4630801550942455e-06;0.0;1.0158808357542275e-07;5.3551460369277053e-14;6.484753557391889e-12;3.651961287628333e-08;1.7005754137862767e-11;1.7253842069884701e-15;6.137880192268054e-10;9.594896491741584e-09;1.3369260476853593e-08;0.0;2.9673219185908833e-09;2.6772828040273893e-13;0.0002459425730189991;1.104350153734863e-06;1.1396740120596043e-10;3.53269837132148e-09;4.238397594676656e-17;4.022453965142098e-05;0.0;6.30394088551016e-08;1.8223626003382426e-08;1.636735586960845e-10;1.510723968900437e-10;0.0;1.9593494275446814e-09;8.396079466377647e-07;5.458466487829588e-08;;;;;
48ae8e7451a5794c3e2e41b9db45258d;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;48ae8e7451a5794c3e2e41b9db45258d;market for furnace, pellets, 9kW;furnace, pellets, 9kW;unit;-0.05335004957778441;-0.03239457098886187;0.0011981718932519464;1.0990231015156364e-05;-1.66817139662581;1.7774789404610564e-07;1.0681857265913721;1.974976477889604e-08;209.9671853063804;0.0;0.0;0.47481296405343243;10.313225118387855;4.653298387721926;490.8504146181079;5.044104855866048e-05;9.320870404537223;0.0016044862917314392;15.695109422459378;0.0002837153460089234;1177.2266229571926;0.9425561808570928;0.0;0.02021732955776568;9.388749703944469e-08;5.776013639634912e-07;0.004856285229309544;3.8000402903092063e-06;1.2162370224645316e-10;0.0005950900998270786;0.0002295698169218006;0.0011311691333502508;0.0;0.010089790330870391;2.3871250451815354e-08;19.210688005853775;0.13733090026215647;2.8548851642980022e-06;9.92268598715404e-05;3.096509926277354e-10;16.6671251657318;0.0;0.0509766071185968;0.0004946585056238629;6.685139562199694e-05;9.671357651709067e-06;0.0;0.0014304021233375883;0.09541014761908556;0.14193873564530624;;;;;
ea0640a1208690c28984b17f7b69c710;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ea0640a1208690c28984b17f7b69c710;market for aubergine;aubergine;kilogram;-4.589960732337921;-9.703728754494486e-05;0.0577645828797103;3.4574957333979503e-09;-0.00036538742545793153;5.603115927649347e-11;0.07187038965001197;6.2256839775134865e-12;0.22380765723104093;0.0;0.0;6.432179795243024e-05;0.0034966354212050015;0.0003880047101735158;-3.65746063401794;2.0057742778739354e-07;0.0025523451214317632;1.5288619241660225e-06;0.0015666209719677143;4.906248155898646e-08;0.12179726648453416;0.0003082826999653466;0.0;2.22097991923413e-05;2.6416232880814222e-11;2.1655572353202743e-09;3.790542745064215e-06;9.724593540133709e-09;4.358823515997028e-13;2.60628269652521e-07;9.88501860459482e-07;1.4763492734140865e-06;0.0;2.795363267774731e-06;8.76828351108359e-11;0.039738490481382595;0.009684502692324699;1.1302328707868684e-08;3.5672212151669296e-07;8.873474388610286e-13;0.008313605724132086;0.0;1.2127255032550956e-05;1.7830402317905412e-06;3.0684940127794634e-08;3.6011367693566206e-08;0.0;2.073046321770624e-06;0.00010478845000450702;1.642070629218608e-05;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;;;
fb480c86bf93fa281a8293bf1737091d;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fb480c86bf93fa281a8293bf1737091d;market for samarium oxide;samarium oxide;kilogram;-0.002998827150227537;-5.483454290049219e-05;2.8636862069722212e-05;0.00010658796933408282;-2.167874703643602;2.6889077308209567e-06;-1.2331521705681399;2.987675070968443e-07;3.2363643979397185;0.0;0.0;0.008952051789792574;0.6805422519248294;1.3050295151904596;9.922120237553559;2.9834231436754807e-06;0.09686221461938219;9.161851251105305e-05;0.12900947877746663;8.659262460251486e-07;4.918407005520299;0.03577236774400563;0.0;0.0016210726050672527;2.2450727434449006e-09;7.996658130989628e-07;6.176169094377273e-05;4.0282636008813566e-06;1.2135587842694482e-12;6.177454505037148e-06;7.577813812093188e-06;3.21261433113469e-05;0.0;0.0003662553016274583;3.1448544603093864e-08;0.5380863550012397;0.004778237356613165;8.496683947747413e-08;0.545128757553924;2.67549850250158e-13;0.7583392181025814;0.0;0.0008066248350865533;1.6518583167349832e-05;0.00016208849547903558;1.0981315654814643e-05;0.0;4.237426153872222e-05;0.0015235196293281693;0.004403478626896112;;;;;
ae2aef38156e5a84ac8ba7d2e1cad970;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae2aef38156e5a84ac8ba7d2e1cad970;market for polyurethane, flexible foam, flame retardant;polyurethane, flexible foam, flame retardant;kilogram;-0.0004963688529575132;-3.304583333399958e-05;1.8606349326227956e-05;4.7464055374302505e-08;-0.002363379696247856;7.553888386228117e-10;0.01967320581423539;8.393208796912243e-11;0.6935065740143455;0.0;0.0;0.009620306452609294;0.07320386075733551;0.004158260495268363;2.125834782241186;3.8944756695815964e-07;0.015743700789647076;1.9569751859329453e-05;0.03504041205097017;1.5689100327409466e-07;1.0766717726366821;0.005506933586764479;0.0;0.00025529601380413147;3.9159974565366963e-10;1.1716216476716168e-07;0.0021613716532231887;5.861915684145618e-07;5.004817811743313e-13;9.847657787597412e-07;1.6497372892607263e-05;5.948919305518804e-06;0.0;3.327652901548951e-05;4.69569695049834e-09;0.15169362023914093;0.11455336062802207;2.1892059327239804e-08;7.109058211506905e-07;3.820319591759781e-14;0.13176464177757505;0.0;0.021622457012958802;3.9189843399254006e-06;7.095466565160192e-07;1.364087666020642e-06;0.0;1.0251826014166072e-05;0.00028923221621181104;0.00044445859345211634;;;;;
ea6e7199fca7198971b4e95eafc09baa;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ea6e7199fca7198971b4e95eafc09baa;market for stimulation, deep well;stimulation, deep well;cubic meter;-0.0011446365516252974;-4.920198401996467e-06;4.457066695023251e-05;2.336702191377309e-06;-0.02053763704549837;3.790421992133042e-08;0.0015589925696392255;4.211579729769645e-09;2.7766473006532255;0.0;0.0;0.0031407410844526457;0.5807037214155862;0.023715942931390656;8.396440167924114;5.161522075874316e-07;0.06777087675998421;7.145555999776067e-05;0.04165138205430127;8.895421614510329e-07;2.2194014255484844;0.006921684566754081;0.0;0.0011910023722456243;2.092013193555876e-08;2.5992012228271607e-08;0.00015104787006507147;3.5274892293853716e-07;4.821261316527787e-13;1.279092308027375e-05;2.39642368516159e-06;0.00018441675572315147;0.0;2.0687049155827392e-05;1.0280705645192977e-09;0.37176404165601507;0.0033259761187909662;3.2695282452888645e-08;1.1035054393309083e-06;1.1966570671568262e-13;0.5176897934036325;0.0;0.004994996020087641;1.7312252594401727e-05;5.968486725761311e-07;4.808469256102938e-07;0.0;7.60733583444658e-05;0.0013093635446875228;0.001135552492367485;;;;;
