;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;amount;worksheet name;source
0a7cd9c0d79364212297d52249bc5902;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;0a7cd9c0d79364212297d52249bc5902;heptane to generic market for solvent, organic;solvent, organic;kilogram;-7.558863839453631e-05;-2.731933793474836e-07;9.583974727095459e-07;8.810347079854975e-09;-0.0009125620234884903;1.4192495159196801e-10;0.0008404192349381811;1.576943808667862e-11;0.17370508687447792;0.0;0.0;0.00022231358105229422;0.017236663301816068;0.0007821937849294744;0.5226907876393815;5.511952928566363e-10;0.003144712201571101;1.8734992891248535e-06;0.0034049569487043484;8.003575413749615e-07;0.1731359871846722;0.0010943831157151764;0.0;0.00016465670526863365;1.0198489620605615e-11;2.7436565708287147e-08;1.13953218401952e-06;1.3666825304041153e-07;7.08401939922471e-17;1.620690474740528e-07;3.402760678178293e-07;5.827717187244173e-07;0.0;2.1613253199176675e-06;1.1735115417048865e-09;0.9042730539248367;0.00020367230983164768;1.7410794644276063e-08;6.287907490028941e-07;3.18459374974229e-12;0.03842610897606884;0.0;1.2169632048742759e-05;7.330816588725432e-07;6.153571580526926e-08;3.7333805281570973e-07;0.0;1.3040380023253978e-06;7.840390630801413e-05;0.00012370825158071035;;;;;
b335e6e5bf7ce5f2b7979c828379c5c3;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;b335e6e5bf7ce5f2b7979c828379c5c3;market for linseed seed, for sowing;linseed seed, for sowing;kilogram;-6.12210836623907e-05;-4.5497291667581436e-06;1.3256853347607614e-06;1.4819688301293194e-08;-0.0016357605315844024;2.3882949259011435e-10;0.002486227457170984;2.653660864018094e-11;0.24387452493801376;0.0;0.0;0.0008812286485218374;0.04173009444921674;0.000944188501372835;0.770571254082026;2.8863027696708623e-09;0.004625972732012606;1.861462272125883e-06;0.003290368779285614;1.348664760078422e-07;0.4424281878622835;0.0014212553796688588;0.0;0.00014274816670374564;1.905409022219212e-11;1.311938385051495e-08;1.7650880405662012e-06;6.554655461099771e-08;9.486528796290378e-15;1.3958145495280477e-06;4.4725095344129824e-07;7.884559451842276e-07;0.0;2.5755250542087036e-05;5.095922947372499e-10;0.10260158203578224;0.07265754835075068;9.144796293189759e-09;8.794102408623562e-08;5.043334309328208e-14;0.035950634878817916;0.0;1.916742948733476e-05;9.066328379656859e-07;3.0332466985595775e-07;1.77160700834913e-07;0.0;2.6279794612517213e-06;0.0001331552673718426;0.00021470818421843576;;;;;
455b2215d53fb94619c5a5d278f79ad2;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;455b2215d53fb94619c5a5d278f79ad2;market for pyridazine-compound;pyridazine-compound;kilogram;-0.0009618369638180885;-1.044219519854703e-05;1.078649319354436e-05;3.0126492999062417e-07;-0.014832598654076571;4.7522253607420065e-09;0.0252585352872122;5.280250072983371e-10;1.9657817507769462;0.0;0.0;0.0034291555007843065;0.24597346846094126;0.025349691289547296;6.111751734970882;1.883143656756469e-08;0.04169470208667178;0.004358022873868643;0.03945331257033991;4.132039501508885e-06;1.8331450856528768;0.014385411308084505;0.0;0.04607043013956101;3.7783715335560656e-10;3.549635609984744e-07;1.5734713596996288e-05;1.7831588918920845e-06;1.008386265177193e-15;2.58277643488692e-06;3.950065312125357e-06;6.7262570834669216e-06;0.0;8.857601616965604e-05;1.392640835974642e-08;0.37278329419594985;0.12549346614564344;4.1718142002148945e-08;1.9995088810253803e-07;2.0971403869857724e-13;0.26669777272742257;0.0;0.00022088990105549743;5.437298459359963e-06;2.062222168862605e-06;4.8337405482330595e-06;0.0;2.2175457060762617e-05;0.0006854454764505222;0.001538829048546372;;;;;
78f6ebb607107c9c769e89142149c92a;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;78f6ebb607107c9c769e89142149c92a;market for hydropower plant, reservoir, non-alpine regions;hydropower plant, reservoir, non-alpine regions;unit;-219564.10069998662;-30489.63523586128;120821.34111263155;284.4255339386671;-33905150.67228609;4.556977960334386;6467901.168557169;0.5063308530444408;79233185677.87244;0.0;0.0;1872038.9151299286;65360333604.728485;46871153.99894685;539831562658.0487;3.487841894085782;97630518.97822136;20016.26607173901;168045871.91899675;3584.5522731433607;10578530604.71956;5823751.711906159;0.0;420151.1457956567;0.35397372284458434;17.62688642025298;23848.611847163524;86.36063423264841;2.227201139536068e-05;35592.20544322168;9387.784558360841;15897.072081399963;0.0;113569.89174619108;0.5746515758558443;1343207605.6818497;7924055.434900021;173.6041410798181;863.6502998731606;0.0010302728510594018;296938550.1334804;0.0;223475.79190076576;18440.752917812366;569.828407607487;192.76492520882314;0.0;14606.931001848629;4979899.753940939;533360.9043723963;;;;;
18090a2bc17fb4aa8ce6f9195b2f5afe;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;18090a2bc17fb4aa8ce6f9195b2f5afe;market for printing ink, rotogravure, without solvent, in 55% toluene solution state;printing ink, rotogravure, without solvent, in 55% toluene solution state;kilogram;-0.0001011146941130817;-2.215822248365734e-06;0.00010530666305646551;5.756481942957619e-08;-0.004368875219404248;9.264183171730106e-10;0.007894348820695745;1.029353621837104e-10;0.8631795707964125;0.0;0.0;0.0012839006635888758;0.07196693407958396;0.005282041470462769;2.3542579709103593;2.5695434752983157e-09;0.012876426082143393;4.069861151309583e-05;0.010312395730632301;3.4749731152266595e-05;0.387214798944625;0.0041237599067625195;0.0;0.00034983282991744613;7.612751717915499e-11;9.430130927569835e-08;4.407878145502263e-06;4.704659758963155e-07;2.2268087309948623e-15;8.760123291966322e-07;3.4372593212880973e-06;3.1731938101991596e-06;0.0;8.711338917372603e-06;3.683509961746464e-09;0.41687671789555214;0.03433611573122001;3.205597581870709e-08;1.290376718868936e-07;1.6430158498795936e-13;0.09201250407711212;0.0;5.55828411341699e-05;3.680754741423015e-06;2.859359584867296e-07;1.2801358597810855e-06;0.0;9.60416046703712e-05;0.00039488856445398326;0.0004501017197711215;;;;;
af269a0deec50c1b37f01cb51e6972b1;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;af269a0deec50c1b37f01cb51e6972b1;market for furnace, pellet, 15kW;furnace, pellet, 15kW;unit;-0.11573270158605052;-0.03691176889073684;0.007724793139370386;4.6604882932065e-05;-9.572853611863163;7.476931665505973e-07;3.9825590647616447;8.307701334752194e-08;29202.40166767049;0.0;0.0;0.9033892807216898;60.70355398902609;23.452063263712994;58801.68735522763;2.2432995629408817e-06;20.36976640896159;0.005093739661276524;77.68186832845106;0.001661642788803177;4766.052920712191;11.211999009894408;0.0;0.18017268307962525;6.173899334507525e-08;4.157944507497874e-06;0.0072787118367502335;1.958303866283104e-05;9.131467197152701e-11;0.001985928187924302;0.0027004982619607937;0.004225418477317737;0.0;0.05947854125544243;1.328799115968313e-07;289.4345352193945;0.6759364451069703;4.884612742647731e-05;0.00019023359047203872;6.052425356184798e-10;5350.780610842885;0.0;0.047315823568206024;0.005277509197919367;0.0003152052927599936;4.342357127677916e-05;0.0;0.004740499891408326;6.3259149244549615;0.47989649019783426;;;;;
1dc96cfc8c3bfa1267b2333e725a490f;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;1dc96cfc8c3bfa1267b2333e725a490f;market for display, cathode ray tube, 17 inches;display, cathode ray tube, 17 inches;unit;-0.046507670509763274;-0.0014275230365551048;0.004391049195864321;1.178700103049542e-05;-1.1479128451290435;1.9580535328169397e-07;1.9054112973937107;2.1756149013833118e-08;82.73473531230397;0.0;0.0;0.48922687719188457;29.150469736715294;1.8679199494929042;375.1895576923032;3.7596615876821545e-06;4.801481798869181;0.059724271560133095;2.7260129375611872;0.05896021810315535;69.9696077429752;1.9982532867828402;0.0;0.07675077051360282;1.4460590198952834e-08;0.0009474216947319516;0.0021572928412326004;0.004725229780041856;1.0285875075362229e-13;0.0004410217488063418;5.854936644522367e-05;0.0012032069698398981;0.0;0.16260431516908128;3.721458119458324e-05;10.749402266527746;0.43014563559465785;1.1003308580302956e-06;0.008710893411387113;1.7780131598543685e-11;21.537801286405298;0.0;0.03859601138670608;0.002482765120815766;0.000401650272524606;0.012942454661183864;0.0;0.0014407413870673527;0.06116922099741891;0.39347265196435927;;;;;
2f509df8e5e4d5702ca6da6967c537a7;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;2f509df8e5e4d5702ca6da6967c537a7;market for hydrogen sulfide;hydrogen sulfide;kilogram;-7.658371705251309e-05;-2.509721346327309e-07;8.057590296347833e-07;1.3330562908158191e-08;-0.0006844753479834931;2.1415503518460828e-10;0.002180829489130483;2.3795002432012693e-11;0.18308414843146242;0.0;0.0;0.00030421896339093287;0.023657899791221477;0.0008808482292748663;0.5687668402906869;1.4214312600808519e-09;0.0036447743234095933;1.8803757813008324e-06;0.002749855374568891;7.338061523263759e-08;0.08538017570197577;0.0013702883912663079;0.0;0.0001046727428048195;1.8040519602951428e-11;3.46103871131472e-08;1.2320701532220923e-06;1.7276534149508686e-07;7.865821694771409e-17;1.740860468850301e-07;3.492377928302719e-07;6.762387600237042e-07;0.0;1.0207566603052852e-06;1.3554795409451589e-09;0.0813752500064632;0.00013201168316887184;6.777919508745148e-09;4.560426851332989e-08;2.5727118749027623e-14;0.020256506951708938;0.0;1.5306528023540245e-05;7.736697266249752e-07;1.4981635579475922e-07;4.7135618774059605e-07;0.0;1.6440924728082533e-06;8.839980319938311e-05;0.00014632859210455285;;;;;
b487f38b3f687521ee73a65741a051a4;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;b487f38b3f687521ee73a65741a051a4;market for impact extrusion of steel, cold, deformation stroke;impact extrusion of steel, cold, deformation stroke;kilogram;-2.167733308875509e-06;-3.758352755343455e-08;8.381126203234441e-08;5.879818500647847e-09;-3.1442598347944266e-05;9.437084639041599e-11;5.899321246202118e-06;1.0485648947900326e-11;0.006334065628253071;0.0;0.0;6.565980949828802e-06;0.0006391652761377662;3.374206659577068e-05;0.016960455349272176;7.363979764948061e-12;7.094121211307864e-05;2.2945568462569048e-07;5.257681404541253e-05;1.8918974191709836e-09;0.002959689609803383;9.47295043311691e-05;0.0;1.8823590714572098e-06;7.179998489548231e-12;2.8898121109219713e-11;6.557113159114612e-08;3.968754802413772e-10;6.945856462639618e-18;1.575994529632493e-07;2.9702563922371235e-09;6.575777827798716e-08;0.0;3.1038144716583953e-08;1.1399734818889641e-12;0.0010992999819464193;5.073752989453998e-06;6.255474692962391e-11;5.323980022043664e-10;2.881811215986243e-16;0.0011353492615110122;0.0;1.858626909646269e-06;1.0155155497237368e-08;1.2680844423428809e-09;4.126713721726976e-10;0.0;1.2454259617803237e-07;3.1796614289268337e-06;6.212861548759439e-07;;;;;
e56e73e2509e29d118cff4d782cc563a;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2020;e56e73e2509e29d118cff4d782cc563a;market for powertrain, for electric passenger car;powertrain, for electric passenger car;kilogram;-0.0006389217031036106;-0.00030270666679523906;9.385877907735259e-05;2.255742888498232e-06;-0.07577974665850704;5.3238436858970504e-08;0.006187364439765261;5.915381505943714e-09;2.188000672722179;0.0;0.0;0.006433292736899016;0.30060395435768383;0.10005197421735765;6.61880177490529;1.144016036988745e-07;1.4045989967306756;0.007026146675094627;0.15513343934660123;2.0473870761377354e-06;6.585986379666892;0.30894632655946674;0.0;0.003425437863066661;6.997886188885978e-10;3.94910877164496e-05;0.00047808258214671555;0.0001952557869940663;7.466074726812071e-13;2.7672613495714285e-05;2.2136368556597246e-06;8.135710053377317e-06;0.0;0.0004906040214552593;2.3407400995697145e-06;0.5691302460897083;0.01841862611723978;4.2697398738726745e-08;0.009150413937291015;2.8684295744269915e-12;0.46655182816506047;0.0;0.005467553736901612;8.641763891416117e-05;1.2268437043365072e-05;8.288782107545882e-07;0.0;3.300387468320493e-05;0.0014424980708603228;0.006797277939527742;;;;;
