activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for bottom ash, MSWI-WWT, WW from black chrome coating;bottom ash, MSWI-WWT, WW from black chrome coating;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;16feeebec78b9a07306a14701268c2a9;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for powertrain, for electric scooter;powertrain, for electric scooter;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3e589ec10908d760d052385114ca2044;GLO;kilogram;2710;Manufacture of electric motors, generators, transformers and electricity di;49941;Parts and accessories of motorcycles and side-cars;MachElecTrans;Metal/electronic equipments and parts
;market for bagasse, from sugarcane;bagasse, from sugarcane;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;077395d23d3dc7d266b094eb0f53d1bb;RoW;kilogram;1072;Manufacture of sugar;39141;Bagasse;AgriForeAnim;Agricultural and forestry products
;market for antimony slag, desulfurised;antimony slag, desulfurised;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ebd55a724dbb3e0e96912a715d231775;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39368;Waste and scrap of antimony and chromium;AgriForeAnim;Agricultural and forestry products
;market for fermentation filtrate;fermentation filtrate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b045ec2262a7210bb2b95726ca5cf545;GLO;kilogram;161;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
;market for furnace, pellets, 9kW;furnace, pellets, 9kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;48ae8e7451a5794c3e2e41b9db45258d;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for aubergine;aubergine;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ea0640a1208690c28984b17f7b69c710;GLO;kilogram;113;Growing of vegetables and melons, roots and tubers;1233;Eggplants (aubergines);OreMinFuel;Ores, minerals & fuels
;market for samarium oxide;samarium oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fb480c86bf93fa281a8293bf1737091d;GLO;kilogram;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for polyurethane, flexible foam, flame retardant;polyurethane, flexible foam, flame retardant;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae2aef38156e5a84ac8ba7d2e1cad970;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34790;"Other plastics in primary forms; ion exchangers";PlastRub;Plastics & rubber products
;market for stimulation, deep well;stimulation, deep well;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ea6e7199fca7198971b4e95eafc09baa;GLO;cubic meter;990;Support activities for other mining and quarrying;8621;Support services to mining;;
;market for sewage sludge, 70% water, WWT, WW from wafer fabrication;sewage sludge, 70% water, WWT, WW from wafer fabrication;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5191e5616a3d57b9b3851d236bc12116;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for chlorine dioxide;chlorine dioxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae4a4b286baf64e432ec0ac447f8bb19;RoW;kilogram;2011;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
;market for furnace, pellets, 25kW;furnace, pellets, 25kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b88e4f34323ee4209c0aaf466d71c075;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;palladium to generic market for metal catalyst for catalytic converter;metal catalyst for catalytic converter;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e68405a6f9cf960fe5659d8c8d2601ac;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;413;Basic precious metals and metals clad with precious metals;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for waste reinforced concrete;waste reinforced concrete;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6b32bf4ab6bfda9a7145f00e525f42c9;RoW;kilogram;3830;Materials recovery;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for lime, packed;lime, packed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ce3836ce533841646352e6e52e5aec46;RoW;kilogram;810;Quarrying of stone, sand and clay;37420;Quicklime, slaked lime and hydraulic lime;GlasNonMetal;Glass and other non-metallic products
;market for sawnwood, softwood, dried (u=10%), planed;sawnwood, softwood, dried (u=10%), planed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;98cb6d70c27cfe79fb971ab158a82826;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;market for kraft paper;kraft paper;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;904cdb1c0ae5f3899f71a12623983440;RoW;kilogram;1701;Manufacture of pulp, paper and paperboard;32133;"Other uncoated kraft paper and paperboard; sack kraft paper, creped or crinkled";ProcBio;Pulp & paper
;market for sawnwood, paraná pine, dried (u=10%);sawnwood, paraná pine, dried (u=10%);ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b845e03311dcb7f4c4cdae96748f6529;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;market for sewage sludge, 97% water, WWT, condensate from light oil boiler;sewage sludge, 97% water, WWT, condensate from light oil boiler;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a0a60db2d8df47f83296bc8f38d91792;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for residual material landfill;residual material landfill;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;faa9503092bc13647411c1ec179c3649;GLO;unit;4290;Construction of other civil engineering projects;53290;Other civil engineering works;;
;market for photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof;photovoltaic slanted-roof installation, 3kWp, CIS, panel, mounted, on roof;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0cf7da00590b68cb2104f62e81fb2813;GLO;unit;3320;Installation of industrial machinery and equipment;87360;Installation services of electrical machinery and apparatus n.e.c.;;
;market for thermal plaster, outdoor;thermal plaster, outdoor;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;463b67e95465d3540fc8a2eafe0ea754;GLO;kilogram;2394;Manufacture of cement, lime and plaster;37410;Plasters;GlasNonMetal;Glass and other non-metallic products
;market for hydropower plant, reservoir, non-alpine regions;hydropower plant, reservoir, non-alpine regions;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;78f6ebb607107c9c769e89142149c92a;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for uranium enrichment diffusion facility;uranium enrichment diffusion facility;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;028fc71b84772ce4215cca40ef4507f6;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for titania slag, 94% titanium dioxide;titania slag, 94% titanium dioxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8a9e591ca2da382e21db2bd20d3761ab;GLO;kilogram;729;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
