activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for natural gas, medium pressure, vehicle grade;natural gas, medium pressure, vehicle grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;24ef70eeea9f813901f85ed3a01bc554;GLO;kilogram;3520;"Manufacture of gas; distribution of gaseous fuels through mains";69120;Gas distribution through mains (on own account);OreMinFuel;Ores, minerals & fuels
;market for peach;peach;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;70c530b2e72de1a0092caa4873ee87f0;GLO;kilogram;124;Growing of pome fruits and stone fruits;1345;Peaches and nectarines;OreMinFuel;Ores, minerals & fuels
;market for cellulose fibre;cellulose fibre;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fccf40a4114750cb83ec1111105bb80f;RoW;kilogram;1709;Manufacture of other articles of paper and paperboard;32113;"Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood";ProcBio;Pulp & paper
;market for capacitor, tantalum-, for through-hole mounting;capacitor, tantalum-, for through-hole mounting;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0a7a9c9f24165e3360770b1c14eeef7f;GLO;kilogram;2610;Manufacture of electronic components and boards;47110;Electrical capacitors;MachElecTrans;Metal/electronic equipments and parts
;market for wooden board factory, organic bonded boards;wooden board factory, organic bonded boards;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a0e1f30f070427855f1242dd7197a11f;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for glass cullet, lead containing, from used cathode ray tube;glass cullet, lead containing, from used cathode ray tube;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d9096f8eeb981f1cc6aab656fa6d8394;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
;market for lead in car shredder residue;lead in car shredder residue;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7ba3db3ab4d071cfd4ba6a9e83c0741e;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39364;Waste and scrap of lead;AgriForeAnim;Agricultural and forestry products
;market for hydrogen peroxide, without water, in 50% solution state;hydrogen peroxide, without water, in 50% solution state;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;39028b49f6d6245996caaa0a615111eb;RoW;kilogram;2011;Manufacture of basic chemicals;34280;"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides";Chemical;Chemical products
;market for electronics scrap;electronics scrap;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fe8807f114d8097b8635ab9bccce30c3;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for gravel/sand quarry infrastructure;gravel/sand quarry infrastructure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;76130798b5b2a7ffd994b6a05a7ed2c1;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for dichloropropene;dichloropropene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;73cf15ee2cdadaa9a07c6840c1765570;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for cement, type IP;cement, type IP;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8383eb68f6324472972a296216150d7c;World;kilogram;2394;Manufacture of cement, lime and plaster;37440;Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;GlasNonMetal;Glass and other non-metallic products
;market for rape seed, organic, for sowing;rape seed, organic, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3f6e423141bbf2e023ee3c2adf3394d3;GLO;kilogram;164;Seed processing for propagation;1443;Rape or colza seed;OreMinFuel;Ores, minerals & fuels
;market for paper, melamine impregnated;paper, melamine impregnated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b8337295bf961d1c9857813ac3bd37fa;RoW;kilogram;1621;Manufacture of veneer sheets and wood-based panels;32149;Other paper and paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, gummed or adh[…];ProcBio;Pulp & paper
;market for phosphoric acid factory, fertiliser grade;phosphoric acid factory, fertiliser grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6175798c164793ffe1c9191b0c86fdcf;GLO;unit;4100;Construction of buildings;53269;Other constructions for manufacturing;;
;market for planting tree;planting tree;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c22909138a7357378cd5a3cc33d12320;GLO;unit;161;Support activities for crop production;86119;Other support services to crop production;;
;market for silicon, single crystal, Czochralski process, photovoltaics;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;67ece99ef0c5d14c8608c570092a6ee5;RoW;kilogram;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
;market for silicon, metallurgical grade;silicon, metallurgical grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1ffe09506f70be4dcd98071865e8a549;GLO;kilogram;2420;Manufacture of basic precious and other non-ferrous metals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
;market for manganese concentrate;manganese concentrate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b777031133db83121cd07207d6e67491;GLO;kilogram;729;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
;market for wind turbine network connection, 4.5MW, onshore;wind turbine network connection, 4.5MW, onshore;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1ebd2000ceb1c4b1fcd1886428cedcaa;GLO;unit;2811;Manufacture of engines and turbines, except aircraft, vehicle and cycle eng;462;Electricity distribution and control apparatus, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
;market for sludge, NaCl electrolysis;sludge, NaCl electrolysis;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b9221c7d301e0f48dc5d527f13f208da;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;basic oxygen furnace slag to market for basic oxygen furnace slag, for recovery;basic oxygen furnace slag;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;eebd3fad4b5782760466a510d2e654b5;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
;market for tube insulation, elastomere;tube insulation, elastomere;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;938a376b236e5cda14feeecfe289a875;GLO;kilogram;2219;Manufacture of other rubber products;36230;Tubes, pipes and hoses of vulcanized rubber other than hard rubber;PlastRub;Plastics & rubber products
;market for average incineration residue;average incineration residue;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a702c27df6a24f4e35ee0b64b598e33f;RoW;kilogram;3822;Treatment and disposal of hazardous waste;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for concrete block;concrete block;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d5d9a37439be90404fe4edc571a7d9af;RoW;kilogram;2395;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass and other non-metallic products
;bronze scrap, post-consumer to generic market for bronze;bronze;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;622e7dac5f95f0045f5b3aff72144020;GLO;kilogram;3830;Materials recovery;4;Metal products, machinery and equipment;MetalAlloy;Basic metals & alloys, their semi-finished products
;market for SOx retained, in hard coal flue gas desulfurisation;SOx retained, in hard coal flue gas desulfurisation;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;043b307c3e9f84641c9228b9770c5469;RoW;kilogram;3510;Electric power generation, transmission and distribution;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
;market for exhaust air valve, in-wall housing, plastic/steel, DN 125;exhaust air valve, in-wall housing, plastic/steel, DN 125;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2aa2df40f4420ea92842c24869f4f396;GLO;unit;2819;Manufacture of other general-purpose machinery;43941;"Parts of producer gas or water gas generators; parts of acetylene gas generators and similar water process gas[…]";MachElecTrans;Metal/electronic equipments and parts
;market for organo-mineral nitrogen fertiliser, as N;organo-mineral nitrogen fertiliser, as N;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0d0be383a3fbe2cd5838635b801109e3;GLO;kilogram;161;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
;market for converter, for electric passenger car;converter, for electric passenger car;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;648459a50e7c729b01b1912756c47c95;GLO;kilogram;2930;Manufacture of parts and accessories for motor vehicles;482;Instruments and appliances for measuring, checking, testing, navigating and other purposes, except optical instr[…];MachElecTrans;Metal/electronic equipments and parts
;market for limestone quarry infrastructure;limestone quarry infrastructure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8333c52e7f25a01b4e063b97466be74c;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for whey;whey;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;82bcd67307aa7d775b264e32dd185e3d;GLO;kilogram;1050;Manufacture of dairy products;22130;Whey;ProcBio;Food & beverages, animal feed
;market for printer, laser, colour;printer, laser, colour;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fe35a6a75a1df036a56f91d38a43b843;GLO;unit;2620;Manufacture of computers and peripheral equipment;45264;Laser printers used with data processing machines;MachElecTrans;Metal/electronic equipments and parts
;market for bamboo culm;bamboo culm;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9127bd8139126b367eac7b51774c6663;RoW;kilogram;230;Gathering of non-wood forest products;3;Forestry and logging products;;
;market for bottom ash, MSWI-WWT, WW from GGBFS production;bottom ash, MSWI-WWT, WW from GGBFS production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;429ec47b0f681dc077ca038e2c5f36f1;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for fan, for power supply unit, desktop computer;fan, for power supply unit, desktop computer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;086665f89ac73409b2902947e7c9a8f1;GLO;kilogram;2610;Manufacture of electronic components and boards;4717;Parts for the goods of classes 4711, 4712 and 4714 to 4716;MachElecTrans;Metal/electronic equipments and parts
;market for thermo-mechanical pulp;thermo-mechanical pulp;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6d8d12dd7928b36d98f7cc406f440e21;GLO;kilogram;1701;Manufacture of pulp, paper and paperboard;321;Pulp, paper and paperboard;ProcBio;Pulp & paper
;market for cement, type general use;cement, type general use;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;4039377773f34eff85b1a442c552d307;World;kilogram;2394;Manufacture of cement, lime and plaster;374;Plaster, lime and cement;GlasNonMetal;Glass and other non-metallic products
;market for rape seed, organic;rape seed, organic;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fd54b5dfec29f8cc88a88de2e5f80a43;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1443;Rape or colza seed;OreMinFuel;Ores, minerals & fuels
;market for anaerobic digestion plant, for biowaste;anaerobic digestion plant, for biowaste;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;06f2bc537e1c9de8c8f4a96e9b702db0;GLO;unit;4290;Construction of other civil engineering projects;53290;Other civil engineering works;;
;market for potato;potato;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b9a9237cc25ac3cfe4585e3135427e1f;GLO;kilogram;113;Growing of vegetables and melons, roots and tubers;1510;Potatoes;OreMinFuel;Ores, minerals & fuels
;market for copper concentrate, sulfide ore;copper concentrate, sulfide ore;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e76a52ecf45f7c635de6b7f78afbe562;GLO;kilogram;729;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
;market for refractory spent pot liner from Al electrolysis;refractory spent pot liner from Al electrolysis;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;55712d043d84b9967a1cc011627c67bf;GLO;kilogram;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for waste, electrical and electronic cables;waste, electrical and electronic cables;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9a6a06bd0c19178adabe818f3e5af1fe;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;39361;Waste and scrap of copper;AgriForeAnim;Agricultural and forestry products
;market for impact extrusion of steel, warm, deformation stroke;impact extrusion of steel, warm, deformation stroke;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;a44e6138b54b5874bcae0e932687c4ec;GLO;kilogram;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
;market for plastic processing factory;plastic processing factory;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;680168269e359b4d69e66d957ae1a89d;GLO;unit;4290;Construction of other civil engineering projects;53269;Other constructions for manufacturing;;
;market for benzimidazole-compound;benzimidazole-compound;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1a8baac9137e8e15307bc13e7cb7cc40;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;market for horn meal;horn meal;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5237d7457f053de443e9eeb238345177;GLO;kilogram;1010;Processing and preserving of meat;39110;Raw offal, inedible (including pigs' bristles, horse hair, animal guts, bird skins, feathers, bones and ivory);AgriForeAnim;Agricultural and forestry products
;market for carrot;carrot;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7e0b03342cb90ee6053113e8c84ad4d4;GLO;kilogram;113;Growing of vegetables and melons, roots and tubers;1251;Carrots and turnips;OreMinFuel;Ores, minerals & fuels
;market for calcined clay;calcined clay;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d17e863e8586f18b16803b4eb3b40416;RoW;kilogram;2399;Manufacture of other non-metallic mineral products n.e.c.;379;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass and other non-metallic products
;market for scrap copper;scrap copper;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3af5723338a54d07a0d996bbf97708f9;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39361;Waste and scrap of copper;AgriForeAnim;Agricultural and forestry products
;market for glued solid timber;glued solid timber;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;45f75757913743e095a46550e2b5c82c;RoW;cubic meter;1621;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
;market for keyboard;keyboard;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c572d4d9e7d95c2bd55a74843df07c6b;GLO;unit;2620;Manufacture of computers and peripheral equipment;45261;Input peripherals (keyboard, joystick, mouse etc.);MachElecTrans;Metal/electronic equipments and parts
;market for compost;compost;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;6e87d30255ea057c29b275f0c450ae38;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;391;Wastes from food and tobacco industry;AgriForeAnim;Agricultural and forestry products
;market for sawnwood, lath, softwood, raw, dried (u=20%);sawnwood, lath, softwood, raw, dried (u=20%);ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bffc4169632245b14852bead436245c4;RoW;cubic meter;1610;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
;ethanol, from fermentation, to market for ethanol, vehicle grade;ethanol, without water, in 99.7% solution state, from fermentation, vehicle grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;8faed72cd9c8b1368681cb0d35d30765;RoW;kilogram;2011;Manufacture of basic chemicals;35491;Biodiesel;Chemical;Chemical products
;market for wood preservative, organic, outdoor use, no ground contact;wood preservative, organic, outdoor use, no ground contact;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d36b474c7c6ba22c9d5500bab684775b;GLO;kilogram;2021;Manufacture of pesticides and other agrochemical products;345;Miscellaneous basic chemical products;Chemical;Chemical products
;market for roof tile;roof tile;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d24dac36fe814aed5d0a823b4cd727ef;GLO;kilogram;2392;Manufacture of clay building materials;373;Refractory products and structural non-refractory clay products;GlasNonMetal;Glass and other non-metallic products
;market for tram;tram;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e285e7b7da998d67a3eb0a314ef7b4c6;GLO;unit;3020;Manufacture of railway locomotives and rolling stock;49520;Self-propelled railway or tramway coaches, vans and trucks (except maintenance or service vehicles);MachElecTrans;Transport vehicles
;market for electric connector, peripheral component interconnect buss;electric connector, peripheral component interconnect buss;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;43d0d31d8089cc9a3501ba77d3a54d33;GLO;kilogram;2610;Manufacture of electronic components and boards;471;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments and parts
;market for NMC111 hydroxide;NMC111 hydroxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c32636169ae0313a362cfda7255c9d9e;RoW;kilogram;2011;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
;market for internet access equipment;internet access equipment;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;aa207a18b9142782da5d7e2b7f485f28;GLO;unit;2630;Manufacture of communication equipment;47223;Other telephone sets and apparatus for transmission or reception of voice, images or other data, including app[…];MachElecTrans;Metal/electronic equipments and parts
;market for receiver system, solar tower power plant, 20 MW;receiver system, solar tower power plant, 20 MW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7902ddf31516846c0f5cf42030d8f244;GLO;unit;4220;Construction of utility projects;53262;Power plants;;
;market for chemi-thermomechanical pulp;chemi-thermomechanical pulp;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b407d4e67d75198d37b65d50ecba0349;GLO;kilogram;1701;Manufacture of pulp, paper and paperboard;321;Pulp, paper and paperboard;ProcBio;Pulp & paper
;market for rolling mill;rolling mill;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;27d3fab7aa9ceb09635fe59f5d0984b1;GLO;unit;2823;Manufacture of machinery for metallurgy;44310;"Converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries; met[…]";MachElecTrans;Metal/electronic equipments and parts
;market for tetrafluoroethylene;tetrafluoroethylene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;241dbdff1d770af53dc3727e431c7d5e;GLO;kilogram;2013;Manufacture of plastics and synthetic rubber in primary forms;34730;Polymers of vinyl chloride or other halogenated olefins, in primary forms;PlastRub;Plastics & rubber products
;market for acrylic binder, with water, in 54% solution state;acrylic binder, with water, in 54% solution state;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;65e82b8e7ddbaac441ea4660a68633d3;RoW;kilogram;2022;Manufacture of paints, varnishes and similar coatings, printing ink and mas;35110;Paints and varnishes and related products;Chemical;Chemical products
