;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);parameters full;log parameters;amount;worksheet name;source
d9394932fdda26beadc976ac7d6f2d9d;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;d9394932fdda26beadc976ac7d6f2d9d;market for intermodal shipping container, 45-foot, high-cube;intermodal shipping container, 45-foot, high-cube;unit;-3.187195767766213;-0.02307076808343132;0.04859231964699623;0.0005637995528593053;-204.12827149083486;8.964384510217551e-06;396.5417959535707;9.960426615150364e-07;6716.3103503162165;0.0;0.0;125.02155986024592;635.6562626755419;379.3047445728635;20330.146293802976;0.0016489971599308827;53.77543622257839;0.10041173894674693;776.3847385552044;0.016268159997733046;43371.70310115982;14.10916501989935;0.0;1.918133124483585;6.763006175594975e-07;3.5056170239834936e-05;0.050109308929822696;0.00022679000559432528;4.656225825531292e-12;0.013459181178717273;0.006901378594701528;0.017465516724236418;0.0;0.6213222542079014;1.3224363221932913e-06;1123.4428171038803;4.721276121592895;0.00012926176552091433;0.0008085378296139809;8.63469203856309e-10;555.6770708167592;0.0;0.2878253070421546;0.014116773584915464;0.1768134637487454;0.000448509539463655;0.0;0.43514608951995687;2.6745560998663533;508.96920411449025;;;;;
5014d2b18be94449b8db69c39e65bbc6;World;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;5014d2b18be94449b8db69c39e65bbc6;market for cement, CEM III/A;cement, CEM III/A;kilogram;-1.3235162675074733e-05;-2.1706273280452692e-07;4.673721539122157e-07;4.907802744632961e-09;-0.00022496479544150538;7.843389012391602e-11;0.0005398838300057322;8.714876139344376e-12;0.1265109370258777;0.0;0.0;7.109814007722455e-05;0.006283602810092057;0.000780366968629347;0.2928387475266768;1.0175383760490168e-10;0.0036253904898540666;4.063786830875843e-07;0.0006397523873147948;3.099998368336337e-08;0.037041727180955726;0.0002511721322109514;0.0;1.1172846942655035e-05;7.786848981067004e-12;3.541744885939034e-10;4.15563824226592e-07;1.5801610447590763e-09;1.7096928827403986e-16;1.0808918910875243e-07;3.1038857626827724e-07;4.866881350628175e-07;0.0;5.58959956649986e-07;9.756636117007986e-12;0.035904190293305466;3.906378615145469e-05;5.641369615627143e-09;1.886095129054009e-08;2.0802265622622293e-14;0.010640372791632664;0.0;5.037903302629456e-06;6.06794949203539e-07;2.7502065184352646e-08;3.254360264527835e-09;0.0;5.565774722430713e-07;0.00019744970037014544;1.647588447806945e-05;;;;;
2706e8ba892910745c3c342c2ba67209;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;2706e8ba892910745c3c342c2ba67209;market for photovoltaic flat-roof installation, 3kWp, multi-Si, on roof;photovoltaic flat-roof installation, 3kWp, multi-Si, on roof;unit;-0.3443870955336189;-0.013881053202340995;0.115301807078654;0.00018299005559079573;-35.94379049336561;2.93723419262194e-06;75.96746428800446;3.263593344727163e-07;838.4094228633895;0.0;0.0;14.580680269204244;163.705614827581;27.041356665292792;3093.9033872239415;2.0464961446051048e-05;308.6873769374933;0.40766411868411034;36.99735503002145;0.001654565837998786;1530.4170304739978;56.228795075240896;0.0;4.96712059631557;2.1238527071685198e-07;0.000746555740293203;2.6334953311271865;0.006250736369746004;1.0378823828698195e-12;0.11620937381177283;0.0007913935044661899;1.4450601631988105;0.0;0.03824358431789909;7.590641005985232e-07;196.10128266674636;2.301856334344656;1.4189053178492611e-05;7.76063320686791e-05;9.86393838185851e-11;406.6212211204918;0.0;115.82698526990896;0.1632664771532335;0.002241434723505145;0.12860372116529747;0.0;0.01824838187059201;0.43605623977978153;2.68717775491581;;;;;
60af5b6fbea08a2700a496dbba637623;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;60af5b6fbea08a2700a496dbba637623;market for computer, laptop;computer, laptop;unit;-0.009598882010077258;-0.00031804669021808223;0.0005398993036098301;7.097534371855278e-06;-4.041527001910668;1.1360607536361522e-07;2.226283182364055;1.2622896478891332e-08;20.95738818422346;0.0;0.0;0.08591018310087699;4.978749906451222;5.7182558290856536;83.16825567367248;8.221454798085636e-07;2.1226651406034933;0.006838208905215371;0.6313135785213226;7.699645869897443e-06;18.644175829093598;0.5334348889967743;0.0;0.08270208695998604;9.748651452131662e-09;0.0004408666533419192;0.0014245581736597266;0.003794662008147192;0.00019700476027785605;0.0012432258990519383;0.03512878957475246;0.10234692467753216;0.0;0.004924482365819205;1.2488963946363694e-05;4.089808330546269;0.18742153147916715;3.2263071229863334e-07;1.8405971725465935e-05;3.9552191493343746e-12;7.481606483797875;0.0;0.02743738197158739;0.0008267118220289884;8.45819322691058e-05;0.0005429558570701376;0.0;0.00031839169898477626;0.02213333944477722;0.026057174509007516;;;;;
f770ed86e91a27cead5080d19cbcad57;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;f770ed86e91a27cead5080d19cbcad57;market for magnesium-alloy, AZ91, diecast;magnesium-alloy, AZ91, diecast;kilogram;-0.0012081774261639717;-1.3801263474492968e-05;4.8740146217703985e-05;7.610940076352566e-07;-0.053376497294291;1.2266253037072475e-08;-0.005179424303285682;1.3629169194981423e-09;6.333841240152112;0.0;0.0;0.002299688276531308;0.2245100850222596;0.04725743879088804;17.52682568335708;6.112988032895276e-08;0.2613626018584784;5.832055489775977e-05;0.3748759483873707;1.1610803594534688e-06;42.30470741903179;0.01895274583565402;0.0;0.0028880821421863848;1.1042780806280716e-09;2.0490013085853596e-08;0.0005198829097129604;1.3658912923493986e-07;3.4784013109170213e-15;2.9160702551151212e-05;7.2974252642035886e-06;1.5180491165713905;0.0;4.7501443582255764e-05;7.116427431349138e-10;0.8560273685363242;0.004975835614295112;1.3458338799690956e-07;5.578713710913653e-07;2.6538439776252384e-13;3.1684044205411337;0.0;0.005334280390230173;1.4833550649722876e-05;6.64721436858808e-06;2.493540583502962e-07;0.0;8.059165100129535e-05;0.002381941969380462;0.018271283746412403;;;;;
78fcfb9cc9f1b33b7aac8afa5768f8b7;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;78fcfb9cc9f1b33b7aac8afa5768f8b7;market for television;television;unit;-0.020995841084721495;-0.0007237634978492618;0.0030107132811863294;1.3839899153048525e-05;-4.304220899108719;2.2177172294776444e-07;4.78181250725868;2.464130101981825e-08;76.38785295146391;0.0;0.0;2.824605678775111;11.548548207499639;2.9592612296115153;302.71519332294145;5.330391182720749e-06;4.455653377319553;0.0014007401015317463;3.32118107087117;4.4463228055327726e-05;62.644670927153044;5.265458296971011;0.0;0.6469840836361704;1.8629604138561264e-08;0.0018496490391492423;0.0018351791924904525;1.555662841156085e-05;6.292426446020651e-14;0.0008187344000752481;5.195548175807212e-05;0.03164998253457538;0.0;0.06710120067160011;0.0004097273861020132;15.049345878683091;0.4277744324097295;1.030153850533906e-06;9.72588329357182e-06;1.098756871416932e-11;20.297272291264292;0.0;0.020657887144506608;0.0334188492301494;0.0005521770041318487;0.4005489705162468;0.0;0.0007840830863659314;0.04715826405344545;0.17349951863287974;;;;;
1f05b1ee2270d7ed8a6ecdf225775464;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;1f05b1ee2270d7ed8a6ecdf225775464;market for air filter, decentralized unit, 180-250 m3/h;air filter, decentralized unit, 180-250 m3/h;unit;-0.002592181933069316;-1.8663142135202917e-05;4.8288702421399883e-05;7.772401091244385e-08;-0.0025631909410978575;1.2405962815293517e-09;0.008482476672129972;1.3784402272255555e-10;0.2294423275819974;0.0;0.0;0.0014663073983097958;0.03897664686454015;0.002710280760821742;0.8221260247484209;8.48529304444582e-10;0.005979983736813938;1.8845262215819202e-06;0.003552094114275736;2.4271981543662238e-05;0.09657584799079222;0.001651187103804865;0.0;8.08991564002972e-05;8.532874761829453e-11;1.216819665160492e-08;2.18936315320436e-06;6.398645592677613e-08;3.3351898310059154e-16;0.0014636719820089004;3.057364343774722e-07;1.1681822373690113e-06;0.0;1.2741394068632467e-06;4.75804559890756e-10;0.050384339757014666;0.00019584668565726052;5.6357237768513485e-09;3.0837260993865503e-08;3.299705832591043e-14;0.03591777041753772;0.0;3.607298649984295e-05;6.672334201148174e-07;9.275498494901904e-08;1.6551357770289685e-07;0.0;4.4939780363883035e-05;0.0001354321812218756;0.00011926983202345019;;;;;
12c83f53d56f63f1311de1211300241a;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;12c83f53d56f63f1311de1211300241a;market for furniture, wooden;furniture, wooden;kilogram;-0.005582214143426822;-2.2320716652612794e-06;0.0013874635731493904;4.870276580765135e-08;-0.004490420999862776;7.817880198396707e-10;0.03307130092063792;8.686533014443154e-11;0.6925747832689398;0.0;0.0;0.009477879161482983;0.03166225631633773;0.007066553334495048;2.2885166562463977;1.0290327828500432e-08;0.11571648371282252;1.1112305945460313e-05;0.021727114160407988;1.5450532481595383e-06;1.6930452081403307;0.0010266628816639905;0.0;0.00017954854014459729;6.264711820472661e-11;1.1369037722133804e-08;8.220638272257572e-05;5.851729103637254e-08;5.181128243401951e-16;1.506414229896497e-06;1.2845550255544148e-06;2.1754088445786157e-06;0.0;3.359025091328941e-05;4.3444243601971067e-10;0.12361175406004615;0.0003817295502145912;2.2214965079761257e-08;8.686086691962228e-08;1.328132655803855e-13;0.050187823349459454;0.0;0.0008192003799072016;2.4317916311931963e-06;1.1071526164917723e-06;1.503638295285917e-07;0.0;0.00015861330409979688;0.0002731206748241818;0.003077034393698956;;;;;
7035335c07fed782ca83685ec31a7f59;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;7035335c07fed782ca83685ec31a7f59;market for blower and heat exchange unit, decentralized, 180-250 m3/h;blower and heat exchange unit, decentralized, 180-250 m3/h;unit;-0.04809894466155326;-0.00025909917195909203;0.0009486790988481241;5.73820835502167e-06;-0.2332824193195355;9.12656820763014e-08;2.7185592039604516;1.0140630712198033e-08;63.83624957762467;0.0;0.0;0.27428824598477036;12.856823379762412;0.890062635412573;239.99509587729827;9.570124366460569e-06;31.395515747030323;0.0019465339894779083;4.28796833387083;4.079127115948771e-05;302.13013871944094;1.6227527349282052;0.0;0.033103705573557934;6.135708277826856e-09;3.500510055904929e-05;0.010221602814076596;0.00017497388512708757;4.308253775037317e-14;0.00016665871074979916;6.69933906986774e-05;0.00019430197202713147;0.0;0.0016037667898559397;1.3746650295525923e-06;11.299539626633976;0.06977909933109;1.2231510081074789e-06;6.016332980416821e-06;8.21286935607082e-12;10.309493221562352;0.0;0.10461334889217769;0.00022164009625635271;0.0010288689659934994;0.0004780485422666244;0.0;0.0009541563921791946;0.03255008497233578;2.929483067079048;;;;;
2dac070d17fb9e86ef8eb23b567657fb;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2020;2dac070d17fb9e86ef8eb23b567657fb;market for paper, woodcontaining, lightweight coated;paper, woodcontaining, lightweight coated;kilogram;0.0038712950088497715;-0.004575907200395513;0.002700221341188167;5.30106600889003e-08;-0.0025207661834522415;8.557406762395393e-10;0.005274138884009684;9.508229145646306e-11;0.39856222707229416;0.0;0.0;0.0014438737731653924;0.026371461543077353;-0.002701551514977771;0.9957886857846505;2.5365627143016767e-09;0.005250263155885183;2.8069110786296495e-06;0.005135516164322409;1.1014890571482784e-07;0.15850635012946224;0.0007852159827031278;0.0;0.0011345826494640308;7.183012722332797e-11;9.887076798703514e-09;1.6229318694076431e-06;5.2800650149116436e-08;1.6380510838214522e-14;0.029200460945671275;9.374601760881871e-07;1.7680851850744896e-06;0.0;5.1934447215949365e-06;3.780613908336069e-10;0.0855808144098583;0.0018714950333109683;1.468372323702566e-08;5.7035927485291846e-08;4.6034960600667134e-14;0.036781966210231457;0.0;2.7981570450923324e-05;1.625441096070706e-06;2.722634791233192e-07;1.312316667073561e-07;0.0;0.00014904683785681635;0.0002402430192189533;0.0003958716896016173;;;;;
