;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;amount;worksheet name;source
0890915c95f79fa6a7f1c6a7843c30cb;RoW;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;0890915c95f79fa6a7f1c6a7843c30cb;market for formic acid;formic acid;kilogram;-0.00019085286805427818;-8.163997641054961e-07;2.679161433417787e-06;7.112009379368436e-08;-0.0014392223775229593;1.155279229425932e-09;0.0023582163860059557;1.2836435085519557e-10;0.3077573239193905;0.0;0.0;0.0005357196016482702;0.0468629577780292;0.0015942626686107377;0.9808215635448627;9.862642948296573e-10;0.006217654855983021;4.452049902887944e-06;0.0028897753631782234;2.1747617482533962e-07;0.2617083564265378;0.0022893227592915713;0.0;0.00020192369796169374;1.0022085958380262e-10;5.102899030413001e-08;2.6174892542340688e-06;2.5932812234644817e-07;2.62833347160076e-16;6.470170266605034e-07;4.605745747042122e-07;1.5482866932474666e-06;0.0;4.217268987079961e-06;2.000313800531617e-09;0.47294736295543327;0.00037621641331119415;1.0461095884054485e-08;1.4169547017863108e-07;1.8558629539450848e-14;0.07033192255498852;0.0;4.199373575996079e-05;1.0719289737553277e-06;1.1137093849646254e-07;6.959839419730821e-07;0.0;6.82259158176101e-06;0.00015499598328890866;0.00022816588210710254;;;;;
3e23320272f13769aa8bb00e44e21c6e;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;3e23320272f13769aa8bb00e44e21c6e;market for furnace, logs, average storage area, 100kW;furnace, logs, average storage area, 100kW;unit;-0.18502246789266372;-0.062662618571921;0.007673541748642236;7.231497999405647e-05;-17.779105653310005;1.1613670952663709e-06;9.570540221814648;1.2904078035102381e-07;4594.436511819852;0.0;0.0;6.309753819034288;45.21726342142213;30.82079817145118;9587.021007514692;1.1249576939713583e-06;9.946923038886785;0.0050874541614339824;71.28324049112084;0.002445653897833617;8556.260425781855;15.012826891971523;0.0;0.153070338385593;9.539299770335088e-08;7.82874855866208e-06;0.010125007609085636;4.2626532686695414e-05;1.5639631288016307e-10;0.002720318123417997;0.0011846816008821148;0.0023644991281546734;0.0;0.09618615952990056;2.97427448451777e-07;148.10493497306285;0.9074862224520021;2.1244132369502402e-05;9.658488170600441e-05;6.853341261031079e-10;350.23191721926923;0.0;0.04536247538718495;0.0023234075591279063;0.00016205453465990616;0.00010176043775365399;0.0;0.006452778283946316;0.6594727688901851;0.10636056462088972;;;;;
354eac429fc07c165d0d7c9e6e71a276;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;354eac429fc07c165d0d7c9e6e71a276;market for electronics scrap from control units;electronics scrap from control units;kilogram;8.803702413110053e-06;1.5171324505313188e-07;-2.206321947303137e-07;-1.7258626617949835e-09;0.00013708751546203025;-2.760876295304621e-11;-0.6948175559979953;-3.067640137652074e-12;-0.1282929235669952;0.0;0.0;-2.4177463076543012e-05;-0.0050706372483320114;-0.0003406304799689451;-1.6707564531984205;-6.009819895901609e-11;-0.0007961220770777829;-1.7254734101113865e-07;-0.004697040888532476;-1.9770643786752856e-08;-0.02436020715232247;-6.938382120209025e-05;0.0;-3.90697112134943e-05;-2.3106948992853965e-12;-3.2919397997904144e-10;-2.1527736722768593e-07;-1.1836768927531542e-09;-1.0863308467722125e-16;-2.586321316658686e-08;-2.770251360234807e-07;-3.988570488597099e-07;0.0;-4.3369840430537296e-07;-8.666744035448751e-12;-0.018390357186445574;-6.183488194075944e-05;-4.961690442116822e-09;-1.4087262599682884e-08;-5.260059616840981e-15;-0.004208773937764147;0.0;-2.273598048945496e-06;-5.389229755503166e-07;-7.043126815891425e-09;-3.015889392625544e-09;0.0;-9.091187932914962e-08;-5.389600891265288e-05;-4.099370780257659e-06;;;;;
394fee340efc79ca725bbf0364fabe2d;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;394fee340efc79ca725bbf0364fabe2d;market for peanut;peanut;kilogram;-5.342383985191252e-05;-2.81145057134153e-06;8.509314997456827e-07;5.608443726798277e-09;-0.0009755245182272609;8.982199365365799e-11;0.0014498652953166395;9.980220897419428e-12;0.15753859272658738;0.0;0.0;0.0005949982964404364;0.02137756986971059;0.000522141243082867;0.4612061379262608;1.0753159410610631e-09;0.0027287748395225975;9.24020405683352e-05;0.0009533294676767621;8.777204377252471e-08;0.3118067923109739;0.0007403481044128275;0.0;6.537957035730546e-05;9.186490935819571e-12;9.03301078682696e-09;1.0113055421031889e-06;4.4983417455760845e-08;4.8426974546568905e-15;6.798739730706945e-07;1.2444798882963438e-06;5.028402534336397e-07;0.0;1.8997518044829623e-05;3.505798881363668e-10;0.06496097717640095;0.10130215264070393;6.302453073212869e-09;5.65931841450666e-08;2.879677821978172e-14;0.020761737262811483;0.0;1.0453653938063418e-05;6.318814925991555e-07;1.1671770989677856e-07;1.218561570483572e-07;0.0;5.43829378588326e-06;8.77250449034698e-05;0.00010343583942637211;;;;;
d29f23158063dc97d4731f384167cbed;RoW;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;d29f23158063dc97d4731f384167cbed;market for dichloromethane;dichloromethane;kilogram;-2.605991772610396e-06;-1.6110941190692768e-07;4.686130490631259e-08;3.233413761656653e-10;-4.034560235557166e-05;5.167084496581683e-12;0.00026230212592853237;5.741204639740964e-13;0.08711400247475108;0.0;0.0;0.00043561564481078597;0.00023648497185235344;4.978347998888314e-05;0.17931590124847088;1.5463250727569978e-11;0.00028647177684635444;4.010752258672999e-08;0.010958898411663098;6.580347863606084e-09;0.006791181263326067;2.1773453521863547e-05;0.0;1.7353721616797292e-06;4.1284260092105226e-13;7.20627025683875e-11;6.750111726998297e-08;2.0040888937377754e-10;3.653961382749147e-17;7.845620211038873e-09;8.507045453198557e-08;1.2035409706672748e-07;0.0;5.058036083201315e-08;1.501604880333144e-12;0.005845231062297413;1.089588077239773e-05;1.532247988425104e-09;4.714811763993105e-09;2.3945198997816454e-15;0.0010413909160176633;0.0;6.707604477479297e-07;1.653457387830935e-07;2.162652774246747e-09;5.248657038093811e-10;0.0;2.2455774234988016e-08;2.1210152806896577e-05;1.074248742089216e-06;;;;;
c4a9cde0c480f45f4a5aad5b92902c59;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;c4a9cde0c480f45f4a5aad5b92902c59;market for packaging, for pesticides;packaging, for pesticides;kilogram;-5.375353693525124e-05;-1.0452822007425005e-07;2.0265480820184e-06;7.17399457046038e-09;-0.0003513914544933364;1.1490239527155541e-10;0.0167593801524298;1.2766932015275119e-11;0.2771329071575129;0.0;0.0;0.009680284467071474;0.0036664084750861895;0.0037578356021600087;0.7168381095418503;1.4781797207437474e-10;0.0016339703836571826;5.072481622843359e-07;0.0005598753985470348;4.182694423690048e-08;0.04253282685504214;0.0002058399097437214;0.0;6.878563177828001e-05;8.896045012162976e-12;2.6331850785514005e-09;4.914302311708982e-07;1.251595474050782e-08;6.842790284956741e-17;1.5135306816648917e-07;5.089735257422594e-07;7.780280379630664e-07;0.0;4.0109045744050755e-07;9.638627561272434e-11;0.03633601432389907;0.0001172888454226908;8.892447277488604e-09;2.928116796537297e-08;1.7119704333605497e-14;0.007852127975104891;0.0;5.987137572946539e-06;9.98097969220477e-07;1.685242658253464e-08;3.344756218062375e-08;0.0;8.399648760984827e-07;0.00011323019246891288;1.788840798207114e-05;;;;;
6fc3d11145cae7853c8512c340ae07c1;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;6fc3d11145cae7853c8512c340ae07c1;market for tebuconazole;tebuconazole;kilogram;-0.0010731115581151661;-5.4237630886752364e-06;1.2118561768092959e-05;2.821525397029912e-07;0.0016858357890065176;4.460268485465153e-09;0.04058261644959696;4.955853565039165e-10;1.8406035047801923;0.0;0.0;0.0036969587520225616;0.27758365264523355;0.019681500192606338;6.030755488822093;7.398208993307368e-09;0.0529296464681466;0.0022912810834104995;0.0879441326350013;5.436188081796075e-07;1.564423950703255;0.023944781133361397;0.0;0.0012312048025252531;3.8019522920033047e-10;4.899047196909722e-07;1.987098876170898e-05;2.4601875828778444e-06;9.938984690868707e-16;3.4332114949608784e-06;2.509974879495668e-06;6.201674542413702e-06;0.0;9.793464461429657e-05;1.9746067281498875e-08;0.4903893607153364;0.0018143673469430044;4.087429265292453e-08;2.985889081494643e-07;1.3314221968307346e-13;0.26251648863340177;0.0;0.0002667671542941364;5.341342017483081e-06;8.639961382132218e-07;4.946496946441308e-06;0.0;2.169136663154448e-05;0.0006744643317661149;0.0016029127941574403;;;;;
7c94299585fd4bd7fcb3671c36cd1618;RoW;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;7c94299585fd4bd7fcb3671c36cd1618;market for xylene;xylene;kilogram;-7.949391285766017e-06;-6.356454399192234e-08;1.2726494477495812e-07;8.908345988018236e-10;-0.00013912199153793138;1.4231843023642056e-11;0.00041569566519122594;1.5813157933347755e-12;0.11129685206290386;0.0;0.0;0.0004788561973952563;0.0005743161701033607;0.00015271321606690434;0.23099868548983282;4.902707568271035e-11;0.0007774758916701411;1.9620154019225265e-07;0.002349245636523299;2.1077061163486405e-08;0.02230572956002604;6.44062767806223e-05;0.0;5.324233769001023e-06;1.0987620971437953e-12;2.429643730379605e-10;2.10888481115219e-07;6.899760272367558e-10;3.7145556530701987e-17;2.1131517328466915e-08;2.7071381245407793e-07;3.8176970552137514e-07;0.0;1.5238385318574495e-07;5.285231576685872e-12;0.018561554881017343;3.353682842000171e-05;4.877103395277526e-09;1.5084423190487744e-08;2.9347302178372008e-15;0.003314893216860859;0.0;2.0634067836290365e-06;5.260970629893946e-07;5.794681607451992e-09;1.8541172881163136e-09;0.0;5.1809025194264646e-08;5.67336035471878e-05;3.406816142818754e-06;;;;;
3f7c004a194983c1e7d4dfcc9ac7971f;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;3f7c004a194983c1e7d4dfcc9ac7971f;market for terbium-dysprosium oxide;terbium-dysprosium oxide;kilogram;-0.00012271480102264804;-1.106720472829188e-06;3.3729807784636727e-06;9.00880384531831e-06;-0.275196873570762;2.850729446318085e-10;-0.24907532977159763;3.167476965912792e-11;0.27951947429490603;0.0;0.0;0.0004840123088361113;0.039141296609746086;0.033239548521935704;0.6046944088607287;1.5205696692748443e-09;0.005480357025518686;2.9288527886047865e-06;0.006419203929270512;1.217380280693906e-07;0.13921257024438616;0.002006773095770514;0.0;8.852808272104954e-05;2.826364305338664e-11;4.890291614742763e-08;1.9001877365206163e-06;2.4427656050562645e-07;2.07485399461696e-16;8.483953257861955e-07;5.039177305127931e-07;8.749270892099229e-07;0.0;3.1068102005986602e-06;1.91612166189663e-09;0.09823281429532556;0.0002893105184155435;8.477543937978835e-09;8.247941880524275e-08;1.419306643317536e-14;0.03752509068315138;0.0;2.365891653864509e-05;9.331981312500629e-07;3.239621486964912e-05;6.658808888694915e-07;0.0;4.208953321411598e-06;0.0001283152419386918;0.000271833102710803;;;;;
4bbbc8e9d6e314598f886a7968c26b90;GLO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020;4bbbc8e9d6e314598f886a7968c26b90;market for chromium steel removed by milling, large parts;chromium steel removed by milling, large parts;kilogram;-0.0004984601474347556;-2.3943778068650278e-05;2.0079063542167833e-05;1.9271752151148352e-07;-0.12144779353062211;3.0920505772044037e-09;0.2995759703081903;3.435611539138494e-10;2.637529726844064;0.0;0.0;0.13399973415835031;0.5793179312757379;0.19113564026011742;10.883782818162272;7.983904290692767e-09;0.0897798011286957;5.383775577269884e-05;0.09644462653275468;2.832804348443379e-07;5.652092508478497;0.004845661577509383;0.0;0.0001906114022089541;2.544973325632017e-10;8.817665335358504e-09;8.684172734176831e-06;6.057422088430604e-08;3.0637323609708868e-15;3.235420013426923e-06;1.4382987997003335e-06;3.819294454092868e-06;0.0;5.962195578562017e-06;3.375920459770111e-10;0.27356206187719656;0.0012263211222242078;2.7355477481304832e-08;1.5644699502450327e-07;3.403719521296983e-13;0.3039738726439032;0.0;0.00011399958711534463;2.9351106338151604e-06;8.867267666527951e-07;1.1494312431232021e-07;0.0;1.7459762597706866e-05;0.0013977961458511673;0.0023166588996878365;;;;;
