;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);parameters full;log parameters;amount;worksheet name;source
1eddc9d11a03c3b49b4656c96c52e96c;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;1eddc9d11a03c3b49b4656c96c52e96c;market for impact extrusion of aluminium, 4 strokes;impact extrusion of aluminium, 4 strokes;kilogram;-8.221356002119095e-05;-9.857897557522205e-07;3.362571006536447e-06;2.233624267401064e-08;-0.024601942781355416;3.583320745029118e-10;0.06883113106233478;3.98146724727477e-11;0.3655063547582422;0.0;0.0;0.030079151696800997;0.106193823309229;0.04042193628943375;1.8321696123107734;1.2879618348812599e-08;0.004422638213290971;1.567656946135838e-05;0.01046400933891933;6.520532546533291e-08;0.1370680730379545;0.0022844087750688038;0.0;7.004067483987067e-05;3.032027270936452e-10;2.1642898244802366e-09;1.9673067840981957e-05;1.2464470769497569e-08;1.2270250710506297e-12;3.3475920141291115e-06;3.1791576785248506e-07;2.983330582341178e-06;0.0;1.591969984891822e-06;1.271741571602378e-10;0.019342511521172594;0.0001440604553414356;3.84623295993093e-09;7.638374497582877e-08;9.477791104071713e-15;0.08615345005454048;0.0;8.414713117222069e-05;5.859474261601776e-07;2.0125626336094312e-07;6.678390813563005e-08;0.0;2.5869796880477692e-06;0.0002145008164399813;0.0005007455514859627;;;;;
679ac11291b73285e73324bdb9500f92;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;679ac11291b73285e73324bdb9500f92;market for wood preservation, spray tunnel/deluging, organic solvent-based, outdoor use, no ground contact;wood preservation, spray tunnel/deluging, organic solvent-based, outdoor use, no ground contact;kilogram;-0.00025863974498814714;-1.1123195414326036e-06;9.977029493009627e-06;1.0268694995735018e-08;-0.0018739692684620445;1.6619852370302273e-10;0.015724720552402035;1.8466501487117853e-11;0.546397326388507;0.0;0.0;0.002668713132394011;0.22622008831705265;0.0023944238157209445;2.465808071746187;8.704086073592384e-08;0.012149782206934565;8.375099014199631e-06;0.00958316969437777;1.1270226233015162e-06;0.3450014963009671;0.002261012713939614;0.0;0.00033574801081129036;1.1090404274463333e-10;5.942871227093597e-08;0.00013054274307969574;2.8927896604458264e-07;7.700447750566299e-12;9.353509961233607e-07;2.314931333136048e-06;5.742759628869582e-06;0.0;7.468019722604204e-06;2.6526887302067044e-09;0.936918532343395;0.002890674269509538;4.0410890124453275e-08;1.171712097320412e-06;1.547778524211947e-12;0.12719102465803206;0.0;6.0523860427348724e-05;3.1074089130457285e-06;4.887550444471452e-07;1.0400799787757248e-06;0.0;9.177995256106167e-06;0.00022219987240036494;0.0012163754502098353;;;;;
eb5005d34eea47f784d09253b875c54f;World;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;eb5005d34eea47f784d09253b875c54f;market for cement, CP II-E;cement, CP II-E;kilogram;-7.533086924043131e-05;-2.2784791845239223e-07;7.831076398586698e-07;3.652222470489892e-10;-0.00022393746305364302;6.034953308129534e-12;0.0004080213036867798;6.705503259367037e-13;0.15100464748797576;0.0;0.0;4.426699250387205e-05;0.003754164555398647;0.00025267997538725286;0.32766319856663195;2.957604272829669e-08;0.0017855133998559288;7.947100989246742e-07;0.0003965634016352013;1.915417388879474e-08;0.020331937633059887;0.00016736798659173352;0.0;1.7223397747357434e-05;2.7024933624482054e-11;1.2348983264776585e-09;3.343625347208525e-05;4.243892729842704e-09;1.5873945088700035e-12;3.3887257413037334e-07;7.043229873420122e-07;8.811558047552004e-07;0.0;6.330770045554749e-07;9.694034443389145e-11;0.01158805397484082;7.890601912173334e-05;7.725274508704214e-09;1.3967707208959706e-07;3.1617374502206752e-15;0.005656670486973607;0.0;7.044384887244493e-06;1.0840200746314687e-06;1.2292591003256969e-08;6.254846984824825e-08;0.0;4.4676828051921757e-07;0.004033908528586642;1.0753231140843331e-05;;;;;
5a167ccac14e2f430d93a51ef0a2613b;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;5a167ccac14e2f430d93a51ef0a2613b;market for cottonseed, organic;cottonseed, organic;kilogram;-1.1131690313750557;-1.18985115657015e-07;1.4603190258243008e-07;2.336069280911245e-10;-0.00014378339343624772;3.9974664983740056e-12;0.00022071583559258375;4.441629166865143e-13;0.07607138671103401;0.0;0.0;1.188893659944848e-05;0.0004806302854462977;0.00016344881165917624;-0.9566763634125399;2.9456419716788175e-08;0.0013684679424244763;9.924365248861097e-07;0.00019873219483458016;8.090930043740175e-09;0.011650889176894295;9.122097395395608e-05;0.0;1.727290500859419e-05;2.6284774107489793e-12;2.001697720828699e-09;4.592152493254702e-05;7.0837163610744575e-09;2.6420235158130253e-12;2.319412040816298e-07;7.910159106319097e-07;7.583363468808652e-07;0.0;7.306701052770212e-07;1.712658634408758e-10;0.007532045306006793;2.612091328591234e-05;9.980125411167596e-09;1.7341431504229024e-07;1.2735055591739947e-15;0.002467332624690872;0.0;3.678856939221549e-06;1.038310695946622e-06;9.12550033203792e-09;1.0546796962385093e-07;0.0;1.6974039051725258e-07;3.6346305164435185e-05;3.2458329127476055e-06;;;;;
f1cdf08b1c9bcfc0272235c147ed47dc;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;f1cdf08b1c9bcfc0272235c147ed47dc;market for wind power plant, 2MW, offshore, fixed parts;wind power plant, 2MW, offshore, fixed parts;unit;-128.93218898822366;-2.6340433949403046;2.6414528785464233;0.002887995004476805;-5741.809024931628;4.600898030865521e-05;762.6479607277253;5.112108605782429e-06;359055.9508620362;0.0;0.0;188.35163918582168;12425.336232076796;11790.718860508347;805186.1020593753;0.06418202895474388;6061.971558386311;5.4470354384820725;30507.08615847512;0.6820898333900559;1870533.368106327;7110.8741157976;0.0;91.45236464117735;3.338845870597056e-05;0.005646953291460114;86.25470396002507;0.022011588737439556;6.70251299298253e-06;1.140004572565448;1.7174550148664391;1.7795831389277235;0.0;26.524666212825505;0.00044836435266805283;40190.29876130342;313.49634101264274;0.019361707874135214;0.37984465669687906;6.038287573889274e-08;785867.7601855778;0.0;23.657428656374947;2.1221876334936582;0.2600175751755907;0.27348362252218417;0.0;1.9346359234419475;974.7672569721576;35.58777979436386;;;;;
fe042390867fff721d6c9b720f0c1894;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;fe042390867fff721d6c9b720f0c1894;market for power supply unit, for desktop computer;power supply unit, for desktop computer;unit;-0.003921954846627456;-5.270376861172757e-05;0.00014980794732745385;2.63896948469736e-07;-0.36007566479496494;4.184105983812294e-09;-0.06047093042633786;4.6490063600320165e-10;5.092691664072098;0.0;0.0;0.04240634481366817;1.2173928114398216;0.31386510384390165;19.24969759583542;1.0619058573065572e-06;0.6761084924519576;0.022036049422937642;0.4508576357085907;5.0062238148209535e-06;7.856276741862715;0.3265338214867842;0.0;0.06280273053363705;4.160643845992518e-09;2.294819065794367e-05;0.000999432330513443;0.00011794030608344194;4.722276964874173e-11;3.594083814283418e-05;1.3282378558158576e-05;0.002828019684601814;0.0;0.0018357551810719843;2.1103239465601832e-08;0.6915743077940706;0.019359983016675335;1.6109511626687284e-07;3.1744785388311343e-06;6.717343922584762e-13;1.339491962650304;0.0;0.004539322131678496;0.001659611339750234;6.30241590276861e-05;0.03544310808877126;0.0;8.167672034411683e-05;0.003421251590758023;0.1380008579317133;;;;;
5d3742f582f1f61161e3f68516067508;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;5d3742f582f1f61161e3f68516067508;market for hazardous waste incineration facility;hazardous waste incineration facility;unit;-668.0657792197782;-7.097244120172453;8.709276391371066;0.013764484856940554;-26405.579843846026;0.00022326281952739303;579748.0844970534;2.4806978407268147e-05;17469733.69304813;0.0;0.0;674.5785302200778;15141028.301865783;50134.38036021555;111776707.9094031;0.45580677335009473;43222.46678193832;17.10501149615895;3781237.5998548917;2.448013785193522;13389063.265153311;2372.9013454936753;0.0;390.2400227210642;0.00017243390398778612;0.03128514370739412;633.055447967392;0.11636779610102188;3.9041256597724074e-05;4.811788784122005;11.559549318184288;12.295993531396064;0.0;96.12283018442541;0.002579252671781571;528760.0254071137;1186.9019347492147;0.14082481304546218;2.664341882628421;2.916279585096863e-07;3707672.0692459284;0.0;99.67527619447277;15.318111897721815;0.2231101412937376;1.5644972570283424;0.0;9.936092139803305;905.3193028549726;176.56363696350795;;;;;
3b0d202386c1983c9fb67c78422bbcec;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;3b0d202386c1983c9fb67c78422bbcec;market for bottom ash, MSWI-WWT, WW from pig iron production;bottom ash, MSWI-WWT, WW from pig iron production;kilogram;9.84290803232913e-06;6.790892506074977e-08;-1.272279417615137e-07;-9.756326510478546e-11;1.0000737025707236;-1.6655012657646782e-12;-8.026106476808018e-05;-1.8505568470630598e-13;-0.030353883817837043;0.0;0.0;-6.226691878017703e-06;-0.0002744299101235944;-9.077797214744412e-05;0.9370300435149677;-1.171717714740134e-08;-0.0005427307857012382;-3.7338590286318427e-07;-8.229242748748723e-05;-3.774382492154769e-09;-0.004568572989140637;-3.705565069425266e-05;0.0;-7.692522872290645e-06;-1.097130617173907e-12;-8.036778436092484e-10;-1.8256467594460303e-05;-2.8574668283604645e-09;-1.0486761476022338e-12;-9.627586467718853e-08;-3.1436229479473107e-07;-3.0195627406221814e-07;0.0;-2.9517799948952577e-07;-6.836369592617423e-11;-0.00485582721558932;-1.1888766592882826e-05;-3.9767539591233364e-09;-6.941211692246921e-08;-1.2743132332253643e-15;-0.0009576836660726154;0.0;-1.469290875354493e-06;-4.129224877198817e-07;-3.738903808933872e-09;-4.198657325182026e-08;0.0;-9.305235369083991e-08;-1.3076927623463884e-05;-1.5349670482043588e-06;;;;;
e229ace9c0c670aef7c1998446d5c3ca;GLO;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;e229ace9c0c670aef7c1998446d5c3ca;market for ethylene glycol;ethylene glycol;kilogram;-0.00016801673204063826;-5.974111080768812e-07;1.3208996074769531e-06;1.1900266924758396e-08;-0.0007103729551937457;1.9209559576971882e-10;0.004736139233308461;2.134395376031722e-11;0.19476442374101463;0.0;0.0;0.0007043528043876496;0.03864979118431502;0.0010004518802243713;0.7356565923500168;3.939970452084774e-08;0.0068525260895490395;4.258008110018449e-06;0.007501466837253735;5.1719184297578e-08;0.10411987863289067;0.002363179665456111;0.0;0.0006754364534440777;1.2579836352245486e-10;6.064598463024607e-08;6.245167394288437e-05;2.999575772624848e-07;3.6198620501432067e-12;5.767895838500541e-07;1.0495581224331311e-06;2.120618055268198e-06;0.0;2.732132747866987e-06;2.5092010650890084e-09;0.015813804483744597;0.0006107249692710421;1.3146040610176173e-08;2.3222842648559514e-07;8.043289922089143e-15;0.03164025941499738;0.0;4.910635525233486e-05;1.5784503421655391e-06;1.2769228076241437e-07;9.363997807005666e-07;0.0;2.9324623021225734e-06;0.00010350783193541018;0.00024855925502873563;;;;;
bf16f06c1340c2ffc65b4f99b7210f85;RoW;ecoinvent_cutoff_3.9_remind_SSP5-Base_2050;bf16f06c1340c2ffc65b4f99b7210f85;slab and siding, softwood, wet, measured as dry mass to generic market for residual softwood, wet;residual softwood, wet;cubic meter;-0.005638789788935914;-2.8655103924689515e-05;0.0005108747665316578;7.641110408980155e-08;-0.24898101510303952;1.278346459776291e-09;0.03515965750092205;1.4203848671178887e-10;15.34299048354166;0.0;0.0;0.004876874560536479;0.33762392408478237;0.04325283319465584;33.03579436706601;5.75983394425394e-06;0.2726208946173472;0.00019091620704470306;0.07056383869381425;2.519964880904294e-06;3.1090725019902363;0.018418045435982834;0.0;0.003615464800515132;8.101785766596079e-10;4.227377992930829e-07;0.009023103562370266;1.5193270210402555e-06;5.482874179238791e-10;4.790901793710002e-05;0.00015791351038280238;0.0001513536214527871;0.0;0.00016363075179045465;3.5738041950113385e-08;1.6744656816790215;0.009886533833165342;1.9663153233196295e-06;3.45719931645335e-05;1.5838170861652945e-12;0.5048043611524958;0.0;0.0008029106392643761;0.00020391750473919843;2.1354642911053136e-06;2.199461245941325e-05;0.0;0.017264194582087482;0.008245353476098345;0.0015282716794336028;;;;;
