;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;source;worksheet name;amount
d8d93682cc7206e6b2dd78c614fa9233;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;d8d93682cc7206e6b2dd78c614fa9233;market for steam generation system, solar tower power plant, 20 MW;steam generation system, solar tower power plant, 20 MW;unit;-171.43462232687912;-5.2165286353126366;2.714920329613123;0.006157084148846775;-7486.2446135141545;9.214904742560889e-05;-2011.8743026014947;1.0238782411582584e-05;342906.5478334647;0.0;0.0;95.13104551192275;183799.99481332934;8872.35502682226;1660345.8832222759;0.07304399257530789;2865.449247796825;1.8279778936760847;24746.419464911458;0.267188359332621;2008421.0300571395;370.96357495264;0.0;70.94262049562799;6.09885254324649e-05;0.0015127577366570925;47.15615788995236;0.009963250130719907;7.636125140694815e-07;0.4108434977513436;0.5955611055981028;1.2596568700892656;0.0;2860.5807583005685;9.644873931728931e-05;25857.590481790943;292.60101656893164;0.00908844471971174;0.19710144489979134;7.329387506852e-08;32070.577440778106;0.0;193.48703478777432;1.028243126195243;0.026977964243192903;0.052037287131602494;0.0;1.7956212158796885;234.8132600553729;18.49197049583941;;;;;
38cb185f1f795655d17d83c508ff85b8;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;38cb185f1f795655d17d83c508ff85b8;market for fish canning, large fish;fish canning, large fish;kilogram;-0.004561004330234486;-2.186609018396263e-05;0.006989882165240857;5.560245890901314e-08;-15.616992826859423;8.915845573388543e-10;0.018985513350155137;9.906494466466684e-11;1.4521967324592056;0.0;0.0;0.0038219193581462496;0.17020890365764568;0.509916501631627;-11.663636372515668;6.464029041691921e-07;0.054649203420382854;9.845866089219363e-05;0.10271915634751855;1.3749144053048345e-06;2.8122182085859704;0.0034713005703493694;0.0;0.004327601018988074;1.1231051643185518e-09;2.5132941839985936e-08;0.0003232491074547314;1.2328957136686518e-07;8.450670010818755e-12;0.00012304292151618082;6.322984797702197e-06;1.6411078952420403e-05;0.0;1.0870423932758177e-05;1.3851754878772504e-09;0.16863068887158117;0.014129357585979007;9.16470594242045e-08;1.7026221538043357e-06;1.9726260730195457e-13;0.11686256354793051;0.0;0.0013073801918694048;9.986525033742894e-06;3.311589666674401e-07;7.032636880888618e-07;0.0;0.26804381378205006;0.0006326243251606019;0.00028734801722788637;;;;;
1ee47d20dee5484a9c2cef3a5761b117;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;1ee47d20dee5484a9c2cef3a5761b117;market for maintenance, intermodal shipping container, 40-foot, high-cube;maintenance, intermodal shipping container, 40-foot, high-cube;unit;-0.7461715710991716;-0.00026287743287087934;0.003339228292199985;3.1816964582885596e-06;-39.45378971301393;5.117818482919207e-08;-21.82323855426365;5.686464627959141e-09;87.293037459963;0.0;0.0;1.1119690994824527;12.202725210045417;20.78561454739481;549.4788539186194;2.8633783127287202e-05;1.4441796154922186;0.006621523324092522;6.705322073893488;0.0001758555317545076;418.56985582483725;0.23482393927239575;0.0;0.04027292220942297;7.457309479929105e-08;3.5530831670493273e-06;0.014442830128842473;1.7539318380103734e-05;5.518674340840949e-10;0.00018810630886516712;0.0002690896097655315;0.000952608954157649;0.0;0.00738956109093463;1.6481896150789536e-07;39.975210030156546;1.0131236209259804;4.4715999963091265e-06;0.00010551914414739795;1.860388245465207e-11;9.932248691592697;0.0;0.021213001652351578;0.000458684204295164;2.8461800192437828e-05;7.172148606069691e-05;0.0;0.07358774620749103;0.06041400398613243;0.052151363526216965;;;;;
6b32bf4ab6bfda9a7145f00e525f42c9;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;6b32bf4ab6bfda9a7145f00e525f42c9;market for waste reinforced concrete;waste reinforced concrete;kilogram;3.0917983167098734e-05;3.504560059645089e-08;-4.107878855832439e-08;-8.04925067191388e-11;7.418711618781322e-05;-1.3289428733857084e-12;1.4068760866094647e-05;-1.4766031009711982e-13;-0.8629175035102763;0.0;0.0;-2.3458979423830666e-06;-0.8489202577363852;-3.380866804332307e-05;-4.810220659648432;-9.405180818730436e-09;-0.00018254738281247782;-1.1441089210455162e-07;-5.2208053148529874e-05;-3.884777323007665e-09;-0.003389976192484147;-1.2467576457210447e-05;0.0;-1.8880844151058282e-06;-1.365139770427731e-12;-1.4412053093524723e-10;-4.6758773504854005e-06;-4.985592953684187e-10;-1.164646398871296e-13;-1.608170717438878e-08;-8.320184168037965e-08;-1.0826649555433922e-07;0.0;-6.629829744507245e-08;-1.1180196769631023e-11;-0.0038185438628388275;-1.5617801627438474e-05;-1.375524434077083e-09;-2.5761459661346245e-08;-1.3038251169167673e-15;-0.00040911257954985705;0.0;-7.358235366801086e-07;-1.364659757916365e-07;-1.3102595780776103e-09;-6.862535709440654e-09;0.0;-1.8350067212964961e-07;-5.970261691957492e-06;-6.25074508841931e-07;;;;;
a7d5ae11aeac1ec3ce1f409805e56898;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;a7d5ae11aeac1ec3ce1f409805e56898;market for sulfuryl chloride;sulfuryl chloride;kilogram;-0.0004273303355230124;-7.480297009010258e-07;2.752274897509967e-06;2.704857876425556e-08;-0.003000087592375326;4.132242950322974e-10;0.009323278357677099;4.591380770843972e-11;0.3371457584017225;0.0;0.0;0.0006321085940432166;0.056956659441941455;0.005410306119450282;1.1751020453597039;1.9471327934435543e-07;0.010563910180860512;7.489662632134594e-06;0.008026673813807039;8.83301910866685e-08;0.1711932564609238;0.0035163361310571713;0.0;0.00016818098285247235;5.798984309328431e-10;8.31842972339411e-08;7.267622377174811e-05;4.1721991382286586e-07;1.7305903763180622e-12;6.581846554411476e-07;2.1345226906701585e-06;6.621651539350932e-06;0.0;2.8003354909452798e-06;3.3504157629246114e-09;0.05447249539752565;0.0003621350107542823;1.9662313721925342e-08;3.671174926525932e-07;2.5700995252237414e-14;0.04779455150037325;0.0;0.00016712836451147328;2.5370135701087835e-06;5.942068760868878e-06;1.2129362168198448e-06;0.0;5.018670043237305e-06;0.00014091426306663256;0.000400489447345807;;;;;
2ec10b1b64e70e51c42f3cadf61b7271;RoW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;2ec10b1b64e70e51c42f3cadf61b7271;market for sodium hypochlorite, without water, in 15% solution state;sodium hypochlorite, without water, in 15% solution state;kilogram;-0.0006171174215682456;-1.3717489854497724e-06;4.913821143510473e-06;4.541638156157284e-08;-0.011404732304511223;6.474276666360226e-10;0.00765717157182827;7.193640293760267e-11;0.5903872534021928;0.0;0.0;0.0009559200376031214;0.08232195872292701;0.018160028447892846;1.8612641702161692;2.1701755846232766e-07;0.015605944929161931;9.863599694507588e-06;0.017496800029815993;1.2078221630447366e-07;0.24783487806946766;0.004692192354557895;0.0;0.00020388188256889597;1.0605360171198264e-09;1.1112008623473162e-07;0.00011560907584470025;5.583161546479809e-07;2.7176887342289595e-12;1.0108145494980027e-06;3.722159172763224e-06;1.1680123951746477e-05;0.0;4.1013900441503756e-06;4.4946905653800046e-09;0.05349663513816384;0.0004727792728225916;3.0845649957936884e-08;5.66265057947038e-07;4.418003336358967e-14;0.06241205507487126;0.0;0.000293945342114473;4.018197480863624e-06;2.8106180297808014e-07;1.6390826818975596e-06;0.0;7.770913297726522e-06;0.00021971757488837591;0.000502308956867932;;;;;
cd12c35d64acba1e66a3151b6b1fd8e0;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;cd12c35d64acba1e66a3151b6b1fd8e0;market for purse seiner maintenance, steel;purse seiner maintenance, steel;kilogram;-0.00038481039906055833;-2.742928758467655e-05;1.775494760267909e-05;1.1269366453683065e-08;-0.009658451195848575;1.7567551676203787e-10;0.1943723264444743;1.951950065051852e-11;1.3469573873806253;0.0;0.0;0.11065325827615205;0.032612936954119445;0.017764738737163565;4.608568956943158;2.0854639370081252e-07;0.01064812615360683;0.0004787660439876443;0.07956201977981853;6.028591295508773e-07;1.1735994608922675;0.03596934531559587;0.0;0.0002276580552841454;2.362428135027825e-10;1.2595211891640459e-08;9.236780447682929e-05;6.23065459909162e-08;2.308670540231973e-12;2.618941196339098e-06;1.7423218469132488e-06;5.084136116875415e-06;0.0;1.4083375000597317e-05;6.071489901460937e-10;0.0636023112219293;0.0025142785223093286;2.6516151496088525e-08;5.052137806362209e-07;3.499208674057568e-13;0.07585771022343192;0.0;9.141001608878713e-05;2.8576548348708833e-06;4.0757081781964104e-06;2.6949874787311164e-07;0.0;8.538429820611234e-06;0.002862019977574262;0.0001260560006580168;;;;;
22aab7febe949adf1c218e3539a56d34;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;22aab7febe949adf1c218e3539a56d34;market for vinasse, from fermentation of sweet sorghum;vinasse, from fermentation of sweet sorghum;kilogram;-1.7069820092708758e-06;-1.6619501612129139e-09;3.662011091713387e-09;8.769854652442334e-12;-2.2576475428136815e-06;1.461479677019989e-13;5.925016977631355e-06;1.623866206977102e-14;0.0019218612935664866;0.0;0.0;2.2578336692163994e-07;9.992915601744391e-06;3.45912335042056e-06;0.003933086851348267;1.526675598635472e-09;2.8247253982695283e-05;1.5641568432288453e-08;3.7420964214265355e-06;2.2072268064081368e-10;0.00024974115165811;1.734259596798853e-06;0.0;2.1290227404906494e-07;1.2176663206273791e-13;2.213781304604453e-11;7.572550682953434e-07;7.398950713622976e-11;1.867352208953144e-14;2.326769046178125e-09;1.348357448184759e-08;1.670461714456353e-08;0.0;7.566536763166407e-09;1.7517356722851786e-12;0.00018970644024413186;9.937117546423834e-07;2.1797090923083225e-10;3.892824390960903e-09;3.277032663790416e-17;3.985669926355051e-05;0.0;9.181322528280954e-08;2.208927983129058e-08;1.9169319800844627e-10;1.0874719803951548e-09;0.0;8.702569888482106e-09;8.026427218846336e-07;6.16167591517508e-08;;;;;
56bdbc40ef55f9454fddfc26dbe7f0b7;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;56bdbc40ef55f9454fddfc26dbe7f0b7;market for wire drawing, steel;wire drawing, steel;kilogram;-7.388962569547164e-05;-7.673390559554417e-07;4.20035209297852e-05;2.070292483404199e-09;-0.10236137599038943;3.3124401469627455e-11;-0.07898519850937481;3.680488823666002e-12;0.1267937445815457;0.0;0.0;4.946722619498596e-05;0.0034730522259094196;0.001662873331774546;0.2996123914427092;1.6630427616116716e-08;0.0007704099766356617;1.6225642830996666e-06;0.035989389790285195;1.5147780985899705e-08;0.4168061568045169;0.00011194752801813181;0.0;1.0728953038656117e-05;6.337968151846083e-11;1.4556682026810248e-09;7.325334756677639e-06;7.452231959770598e-09;1.8375582935201804e-13;9.086441610719958e-08;1.523754527795181e-07;7.225281613805952e-07;0.0;2.5549665189229606e-07;6.568218287565326e-11;0.0070515786678830485;0.0002077778813937257;2.0836017025767163e-09;4.51646068605013e-08;6.136660485171336e-15;0.0038809208486067083;0.0;1.6730384129022743e-05;2.6311860879763517e-07;7.018860945666604e-08;2.771514448928467e-08;0.0;8.177942888416266e-07;1.659282661968657e-05;1.1566401150425565e-05;;;;;
435737c5d40498ead3813ee28906ca13;GLO;ecoinvent_cutoff_3.9_remind_SSP1-Base_2040;435737c5d40498ead3813ee28906ca13;market for fatty acid;fatty acid;kilogram;-0.0006204295181505179;-6.3646537003992045e-06;0.00010330974439748142;4.90065118239457e-09;-0.005985246491033953;7.887056977926484e-11;0.008412302566722284;8.763396098037284e-12;0.3643159208429262;0.0;0.0;0.004290759945639592;0.04339924442194399;0.007944156789952356;1.1084682957178225;1.9912941171436302e-07;0.008540746589075755;0.00011931329836248638;0.004011872184086645;4.566897035061929e-06;0.18319229207955484;0.0018745373998400332;0.0;0.00017497915517833166;1.0282695916211749e-10;4.325211426641847e-08;0.00010258623754504065;2.1134776849083164e-07;2.9123587361526512e-12;9.159861442769031e-07;3.456133145967788e-06;2.931003630791238e-06;0.0;5.4116519839793075e-06;1.8361508350690413e-09;0.06222348038844388;0.04469384976004844;2.8899220343686914e-08;5.277647206614655e-07;5.390120843016477e-14;0.03679405044567253;0.0;4.7204945520172985e-05;2.9942670341510335e-06;6.546542962622692e-07;7.139608673611381e-07;0.0;0.00013239537571442381;0.00016702881732987603;0.00023952943736216975;;;;;
