;location;database;code;name;reference product;unit;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand);log parameters;parameters full;amount;worksheet name;source
d724bf7e0969f87fb5bd453f906dae55;RoW;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;d724bf7e0969f87fb5bd453f906dae55;market for drilling waste;drilling waste;kilogram;6.760918483757175e-07;1.1098831254813373e-06;-2.168979688239628e-08;-7.830721290510813e-11;2.8680207804513126e-05;-1.281674653694557e-12;-1.614669556801747e-05;-1.424082860130805e-13;-0.8095259063459088;0.0;0.0;-3.2309482744632434e-06;-0.00016308271601728062;-2.4963393039344734e-05;-3.0201676155301835;-9.224527882355425e-09;-0.00010933210914442295;-3.2315654366664455e-08;-3.664788214634144e-05;-2.37699489903767e-09;-0.0026696056372705365;-8.62659704630645e-06;0.0;-9.857808426392152e-07;-4.263750605405194e-13;-3.4640679168901874e-11;-1.674812676131863e-07;-1.0768356467234894e-10;-7.986439650158641e-15;-6.8211099814488955e-09;-4.2775933239524454e-08;-6.122468915117118e-08;0.0;-2.721675712939188e-08;-1.4520754294579639e-12;-0.0030953382626238172;-2.9991623009854623e-06;-5.201086393411087e-10;-1.6412218611632358e-08;-1.0769965493425118e-14;-0.0003243530226692414;0.0;-3.52369894232945e-07;-8.135243927206298e-08;-1.2523596684534125e-09;-7.581100294745893e-10;0.0;-1.4676565174738094e-08;-4.5464039546674085e-06;-1.6167712606342774e-06;;;;;
fe787d7638ea5897de2929659343c56c;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;fe787d7638ea5897de2929659343c56c;market for operation, dried roughage store, non ventilated;operation, dried roughage store, non ventilated;kilogram;-3.2998770817826714e-05;-9.663939800578781e-07;1.8447120875731465e-06;3.875970441582503e-10;-7.067524497608755e-05;6.219895123886559e-12;0.005149544088229301;6.910994153005175e-13;0.051048983898521035;0.0;0.0;0.0011002247025302468;0.03696235858888366;7.498818961433528e-05;0.311640813733279;4.358277464656271e-09;0.00023830115522157784;8.140329284401897e-08;0.000234021516935861;3.78261996185606e-09;0.013202559979617102;0.00033377141520172154;0.0;5.689653951386848e-06;2.5044429480264988e-12;5.803754208474147e-11;1.4669266091364585e-07;3.1295880594894617e-10;4.843815088622024e-15;2.8632958145544463e-08;1.965499544733673e-08;4.78833677869118e-08;0.0;1.4921180093122444e-07;2.447055742839643e-12;0.0012668820044694233;1.030366725524574e-05;2.3878271597896233e-10;7.855265106511518e-09;1.6119157136420041e-15;0.016601568407029702;0.0;1.2163821935511154e-06;3.8566290105099745e-08;2.0348244246247625e-08;1.0131236971779785e-09;0.0;2.3471520537720042e-06;2.226253062422617e-05;5.3715373878290825e-05;;;;;
2beeaaafe05a7a5fe8fb8735deaef235;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;2beeaaafe05a7a5fe8fb8735deaef235;market for sodium perborate, monohydrate, powder;sodium perborate, monohydrate, powder;kilogram;-8.52858319616203e-06;-7.458000071932744e-08;5.307441657210823e-07;-2.140954400418093e-08;-0.006220328282623928;2.0046070474293706e-11;0.0005017158696001255;2.227341025518877e-12;0.20000832188062365;0.0;0.0;2.3128614743017632e-05;0.0009137526602406988;0.00033965428996120457;0.4022959891379883;1.8114707794346668e-07;0.0021187734790266803;5.997404381729521e-07;0.0004892572779691784;3.813137232919692e-08;0.03267048748694088;0.0001724841676518123;0.0;1.0479714828615904e-05;6.20453428087423e-12;5.921208514805529e-10;3.252116713016938e-06;1.6379572447044672e-09;1.5180464285217486e-13;6.089054529900827e-08;8.402002944334655e-07;1.1842743692352767e-06;0.0;8.253962251405688e-07;2.6273363294973582e-11;0.02914270519725229;4.1928593925585954e-05;1.011865466923839e-08;3.168876322847789e-07;6.036030570807556e-14;0.004419871447500557;0.0;6.316293803486757e-06;1.5966515171314058e-06;1.5170477022228477e-08;1.36300383579734e-08;0.0;1.2966298888526327e-07;8.794004665669016e-05;5.866476559485491e-06;;;;;
872ae9d2d262f9af18b2608d0e1f4687;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;872ae9d2d262f9af18b2608d0e1f4687;market for yarn, cotton;yarn, cotton;kilogram;-2.5862023949468558;-1.6537549006251916e-05;8.153094383213238e-06;1.3714392096657537e-07;-0.01166817942107752;2.1675994712859873e-09;0.00345921004723819;2.408443707448561e-10;1.2934781550214656;0.0;0.0;0.0026890491615104823;0.10843056884395146;0.010489847455342247;0.7271440367811045;5.497136549413291e-07;0.017589864348449852;2.8008775509600063e-05;0.010847157921953406;4.949048038376574e-07;0.9892315264468777;0.007100133196789576;0.0;0.0003599045058782918;8.332152805307133e-10;3.42411616762278e-08;2.1528330571648574e-05;2.0532365672225042e-07;6.363067567424872e-13;8.597273083214076e-06;1.5356004381348552e-05;1.3173701823705452e-05;0.0;7.781245928009135e-05;1.3711357932503704e-09;0.3405308508634993;0.25044534836800797;3.521406327604534e-08;1.1954687808594304e-06;3.108742064102977e-13;0.12531347413359517;0.0;0.00034245708390160317;5.670139241395119e-06;5.251592241273419e-07;4.995790546271123e-07;0.0;8.52927020665518e-06;0.0004264433043939179;0.000508886551980283;;;;;
ee63dcd1f04124315fc8b153dab9db0f;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;ee63dcd1f04124315fc8b153dab9db0f;market for housing system, pig, fully-slatted floor, per pig place;housing system, pig, fully-slatted floor, per pig place;unit;-0.11521573397308128;-0.017127199391916426;0.006616323261839218;1.5190832628892749e-05;-3.705173114332134;2.437832881700881e-07;41.965956595749745;2.7087030337114454e-08;4904.28976214216;0.0;0.0;14.6292774904461;3706.3948825311836;7.74495165349905;30181.496415163852;0.0004036169878966462;17.542089999011164;0.14976379439045384;31.617837629586717;0.00029088453504994146;1569.3071227910177;5.971075165837891;0.0;0.1622405278233141;9.586157779042645e-08;4.018089328095135e-06;0.010999227657875518;1.9095444354584265e-05;4.227966474168011e-10;0.0008904457734298455;0.0018400284302321963;0.0033355611160733024;0.0;0.009293921301663245;1.8565877267229858e-07;109.58818513045206;0.3625857947790884;2.2231796918076872e-05;0.0007276005552633494;1.269431686197179e-10;1675.4736366547086;0.0;0.0614547667578379;0.003516978838717812;0.0013698367323182609;8.161395366145056e-05;0.0;0.021951271347845233;1.901751540905318;3.736694234036765;;;;;
be33116d9801dd9e6a161a7f97be15c4;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;be33116d9801dd9e6a161a7f97be15c4;market for clover seed, Swiss integrated production, at farm;clover seed, Swiss integrated production, at farm;kilogram;-0.0006489961990210405;-1.54182982313227e-05;3.0835160656967858e-06;1.8065095451179167e-08;-0.0027339527017538516;2.9071049392951254e-10;0.013081230495755988;3.23011639866478e-11;0.7401307162824291;0.0;0.0;0.0006724257279138913;0.08092340850258362;0.0024098577583120924;1.939270640451946;4.5645914561819177e-07;0.011916780125667893;4.553624753202504e-06;0.007048580596269302;1.4593493796434293e-07;0.45523448223660645;0.0027707120545950063;0.0;0.00043271191990813064;8.028509921907488e-11;3.280098176782249e-08;1.1733466985337987e-05;1.6124560494446075e-07;5.43439600845236e-13;2.952051790296347e-06;2.1339540243345063e-06;3.997011809605883e-06;0.0;2.26915785765001e-05;1.3234985959022442e-09;0.21853583869859683;0.23793595995714475;2.4886035338512128e-08;8.202036315728529e-07;8.590229753153331e-13;0.0633835599136353;0.0;6.709325018215379e-05;4.1713035208674696e-06;2.454135931195669e-07;4.706886209039989e-07;0.0;7.424188458081987e-06;0.00029463408718264207;0.0005038191472175;;;;;
3a4bb4b0b56fa5cc9d1b6cd6cc0791f8;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;3a4bb4b0b56fa5cc9d1b6cd6cc0791f8;market for water storage;water storage;unit;-15.311219367124878;-0.3726827710557966;0.6288502548223145;0.002990935981884798;-1388.197909720861;4.818687301077686e-05;383.04206323753806;5.354096668771349e-06;1558828.562019522;0.0;0.0;54.98617596029267;1331355.3824423735;2661.0171397420218;9744554.190826263;0.11434680244687141;2721.885600660548;0.7020343611652362;9087.390833301628;0.13686917596438478;667371.6013197297;198.47730960317963;0.0;15.601484362714606;1.914468368622657e-05;0.0005719561831379898;2.6271309290903395;0.002339778917627333;1.3237823650652756e-07;0.1413177332242576;0.5360406438674524;0.8863955111061089;0.0;4.721147438126175;2.6404835847645997e-05;30269.353069574594;67.59255970613695;0.006450833521970462;0.213030442140804;3.4475015309721704e-08;644394.3524485801;0.0;8.877420709203852;1.0207854278944217;0.018947418510203498;0.013385366651022513;0.0;0.42269882429851496;719.9073002144459;15.238269641888806;;;;;
0bb1b155f3db9bb2bde3e25e4f8bb608;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;0bb1b155f3db9bb2bde3e25e4f8bb608;market for dryer;dryer;unit;-0.020232906974045818;-0.00034023439501447623;0.0011596217075226256;4.765667954771207e-06;-1.2377648442616451;7.60923139673467e-08;4.9072316372041245;8.454701026990471e-09;67.32127305823181;0.0;0.0;1.8147045779404258;8.308894322344866;4.009945083174166;213.77419317888393;2.1915243588516036e-05;2.3600646913947423;0.006193976866329396;4.8865148716802596;0.00014039173191606442;285.946450447943;3.1428326183635704;0.0;0.03830127573686532;3.171605178706738e-08;0.00039172228057493086;0.002240546497775462;0.0019368576864573902;2.6551030560348873e-11;0.0002932604692423541;0.00010588643560622406;0.0003987296118380059;0.0;0.007146945208395561;1.682951068882672e-05;7.279610526656936;0.1286716034416663;1.2103600061758236e-06;4.097328787924788e-05;7.192770328589568e-12;6.906617464997522;0.0;0.029047091392413144;0.0009498426321847888;0.0001060446436681663;1.76612896090365e-05;0.0;0.0020410651792255046;0.030455507412051944;0.09074230608701525;;;;;
82beeb608883b1ced74b5b17977f1844;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;82beeb608883b1ced74b5b17977f1844;market for excavation, skid-steer loader;excavation, skid-steer loader;cubic meter;-4.644677024974903e-05;-9.683599530788796e-08;1.4090336002653467e-07;1.173667662061431e-09;-0.004438786013998421;1.9044039226585515e-11;-0.0042791258633811165;2.1160042271306653e-12;0.016973518482052787;0.0;0.0;1.7888089758306296e-05;0.0009538232916971381;0.00046342924005158154;0.04341287758314016;8.224414759834271e-09;0.00019922419796596913;2.2660184476757816e-07;0.0014259593632518328;1.8904878771168077e-07;0.10282495267530598;2.5550032434078848e-05;0.0;2.292433505845104e-05;6.853963476728677e-12;2.594776080378359e-10;2.7851521463905527e-07;1.345984054692664e-09;6.562671620767099e-15;2.1594938993504868e-08;3.792756919185289e-08;1.0817080747862954e-07;0.0;1.1194039020152076e-06;1.065641149912645e-11;0.14061596755481784;0.0002520515479231558;2.9289767181523132e-09;1.4879389626437322e-07;1.3075246589706964e-14;0.004193179143552112;0.0;2.1502607554506834e-06;7.629948348979318e-08;3.368268227665964e-09;3.81752436462415e-09;0.0;5.639286519662386e-07;6.622502572000798e-06;4.431552018003756e-06;;;;;
43cd3253df7a606a1818c6a8fa410044;GLO;ecoinvent_cutoff_3.9_remind_SSP2-Base_2030;43cd3253df7a606a1818c6a8fa410044;market for navy bean seed, for sowing;navy bean seed, for sowing;kilogram;-8.651906516712411e-05;-8.421969801735037e-06;1.1614533444276745e-06;7.700627475794273e-09;-0.0021978848256569085;1.2401246631077947e-10;0.0019749490967472293;1.3779162067896944e-11;0.21928023148677808;0.0;0.0;0.0010270807870511756;0.039600559686347514;0.0013225997324843614;0.701733458577837;1.4536543170753314e-07;0.005932265369433877;1.674356350481642e-05;0.0042137651364134955;2.1471640736181528e-07;0.45703102177450894;0.0015782611528858488;0.0;0.00017200605219624762;5.007489173272258e-11;7.851231907678707e-09;4.719860590339371e-06;3.904709362396604e-08;1.3840087342547235e-13;1.5281397295203167e-06;1.134145247264337e-05;1.328541306816409e-06;0.0;1.0210823008171239e-05;3.1043370137628825e-10;0.1629264978008602;0.07804778864329961;1.0449053190294516e-08;3.8736376747548184e-07;9.173462970328443e-14;0.029772571859504743;0.0;3.3059958832578286e-05;1.3109292561895463e-06;1.9644410481194343e-07;1.1190007765977351e-07;0.0;2.9690515800054873e-06;0.00010245054681863864;0.00029680511772686415;;;;;
