;activity type;database;location;name;reference product;unit;code;waste_composting_solid;waste_digestion_liquid;waste_digestion_solid;waste_hazardous_liquid;waste_hazardous_solid;waste_incineration_liquid;waste_incineration_solid;waste_landfill_liquid;waste_landfill_solid;waste_non_hazardous_liquid;waste_non_hazardous_solid;waste_open_burning_solid;waste_recycling_solid;waste_total_liquid;waste_total_solid;Antimony (demand);Bauxite (demand);Borates (demand);Cement (demand);Cobalt (demand);Coke (demand);Copper (demand);Electricity (demand);Fluorspar (demand);Gallium (demand);Gold (demand);Graphite (demand);Helium (demand);Indium (demand);Latex (demand);Lithium (demand);Magnesium (demand);Natural gas (demand);Nickel (demand);Palladium (demand);Petroleum (demand);Phosphate rock (demand);Platinum (demand);Rare earth (demand);Rhodium (demand);Sand (demand);Scandium (demand);Silicon (demand);Silver (demand);Strontium (demand);Tantalum (demand);Tungsten (demand);Vegetable oil (demand);Water (demand);Zinc (demand)
418689c0bfbb8b4bd7d1d0d5c1b10f57;market activity;ecoinvent_3.9.1_consequential;GLO;market for seed-cotton;seed-cotton;kilogram;418689c0bfbb8b4bd7d1d0d5c1b10f57;1.200221803873848e-06;0.0;8.026371331641925e-07;6.481843918718166e-10;-0.001658943284703758;1.0702792574564339e-11;0.0006659140045240347;1.1891991011163936e-12;0.1429262556890765;0.00019366828352894308;0.45181880536897073;0.0006779169010850853;0.024041755307583852;0.00019366893171333493;0.45015986208426756;5.569694243459415e-10;0.003968781228031298;9.565373116365377e-06;0.002923694350372543;-6.746244827136613e-08;0.4358842189305517;0.0008220295036332945;0.3485453515060125;-0.0008152463601617997;0.0;1.727594384598095e-08;1.2231289462398655e-06;5.547478363260279e-08;1.4746949820673003e-13;1.313829068424532e-06;3.7811436363426308e-06;2.334968760920147e-07;0.0813881622657785;3.1861938796781984e-05;-5.0874641983892645e-09;0.09857755630442185;0.08764293740953519;3.284619376155004e-09;9.524407009659219e-08;-3.7752698830401207e-10;0.022593005160332073;-9.338230135574291e-12;2.5930901110354897e-05;-3.306121223575187e-07;9.047521183326374e-08;1.6458275641211208e-07;0.0;-8.73655152676117e-05;0.7595722338187018;0.00012501940222559764
09bc207d62423d4510d16cc78b6a840e;market activity;ecoinvent_3.9.1_consequential;GLO;market for fish freezing, small fish;fish freezing, small fish;kilogram;09bc207d62423d4510d16cc78b6a840e;2.30792323000411e-05;0.0;1.5107115300456287e-05;9.155003475454536e-09;-0.15399337340234048;1.4821845104092595e-10;0.01145129360500576;1.6468715759812633e-11;0.0012236112691127324;0.011406089961183733;0.5864795683429085;0.0018156217451305258;0.47395228938641054;0.011406099116187209;0.4324861949405681;1.290418740392731e-10;0.0007706751623468116;5.106718896945523e-06;0.0004928694534152547;-6.683377654357856e-08;0.02822810251131701;0.00033731538533005316;0.7145527969205115;2.6454217515146592e-05;0.0;9.525218206309523e-10;3.771144246010137e-07;3.1486763663728615e-08;-2.0297284878824546e-15;1.0883281663714626e-06;-4.358272969797732e-09;1.4214794830282035e-07;0.026107804599069417;3.3817416310885083e-06;-1.0565999214256757e-09;-0.026987533012413464;-0.0009755519311080931;-9.969030119905573e-11;-2.7365754550423012e-08;4.4648907183328496e-11;0.006940086368828413;2.6830774712334404e-12;1.257980295936696e-05;1.643692903412483e-07;2.096181653557523e-08;9.474709101860694e-08;0.0;-0.00018912127790764012;3.2580480891631667;2.896521289908467e-05
145cb8e60db304e32002d3e8f58de8ed;market activity;ecoinvent_3.9.1_consequential;GLO;market for helicopter;helicopter;unit;145cb8e60db304e32002d3e8f58de8ed;0.013226411930566033;0.0;0.00893021111546597;1.705005168083977e-05;3.0008196656393524;2.6841757690577115e-07;0.21832328939411075;2.982417336002391e-08;1263.0804905166133;-3.1597088293733537;2914.3609616976864;0.7249932219673134;53.90672868403717;-3.1596917793216712;2917.36178136333;4.2855290670924955e-07;2892.3974558278337;0.07810605591756682;85.85644727666099;-0.0010427431232647338;12992.79636087732;1.1977770130002046;271.13232649345383;1.304513147787028;0.0;1.25777339441849e-05;0.5419121132421124;5.7204964682854726e-05;2.5041882311492003e-11;0.002187679105613219;1.4573861683231598e-05;3.8491992938903105e-05;670.612563137869;-0.018913266875984543;-4.2415166639698976e-06;226.30746074032706;0.7754548996922257;3.231311516202172e-06;0.00010311224742675313;-4.008602638294238e-07;108.05359724125756;-1.0109692319974103e-08;5.41991395370187;-0.00014273117441099807;6.961497942514984e-05;0.00015063588400060051;0.0;0.15262427050569072;19245.85324113754;0.09619455912099634
86cd157d06160ba3e37847b8193e419c;market activity;ecoinvent_3.9.1_consequential;GLO;market for navy bean;navy bean;kilogram;86cd157d06160ba3e37847b8193e419c;1.35857323578553e-06;0.0;9.055303698929445e-07;1.0696281435678469e-09;-0.0009172723667723614;1.7669398389489336e-11;0.0010318843430931679;1.963266365825416e-12;0.18627481146108435;-0.0002513117565085156;0.5801294545911331;0.0008934908267506842;0.032336714058065784;-0.00025131068688037206;0.5792121822243604;1.192019840194818e-09;0.007104373673355662;1.0990890000787713e-05;0.00497310330466522;-2.082903896826536e-07;0.5782910128564456;0.0012628598391608277;0.23168660839900568;9.944424823812334e-05;0.0;2.1910307945193714e-08;1.4915125636761618e-06;3.847571013981984e-08;2.822653783883835e-13;1.4345798706861812e-06;4.788790567239093e-06;5.259819266385911e-08;0.0517704753876462;2.050757093611105e-05;-4.6701698051906065e-09;0.16481720161900718;0.07731518133273156;4.154985762172633e-09;1.5627730544100372e-07;-5.254047417326727e-10;0.02619514459135045;-1.53222481232469e-11;1.7495972673678954e-05;-6.32848523595789e-07;1.9363405392984972e-07;1.0796674177541453e-07;0.0;0.00012895158086343743;0.6036563201598832;0.000267565150523679
20129e795d7b2741829106694d149720;market activity;ecoinvent_3.9.1_consequential;RoW;market for iron scrap, sorted, pressed;iron scrap, sorted, pressed;kilogram;20129e795d7b2741829106694d149720;2.4980234818692794e-06;0.0;1.6903658147537414e-06;-5.138429059971633e-08;0.06820945906145387;-8.306796394177261e-10;-0.00033307875384955255;-9.229773198248312e-11;0.8391587454175644;-0.11931854651555623;1.6768553128364236;8.318388398005835e-05;0.0007401465625720339;-0.11931859789984683;1.7450647718978758;-6.268461510387921e-11;0.002308631192810826;5.572869223921335e-06;0.07364605065273956;-1.313947598351814e-05;12.02765162738309;0.0006144462251931451;-1.5154925948803153;-7.780726086603825e-05;0.0;2.8406522069061905e-09;1.456235332770001e-07;2.8684791731398906e-09;1.1978138814871499e-14;2.6479302458612863e-07;1.6472993084012714e-08;-1.2487798346206818e-07;0.05737582705951233;-0.0003679232895736062;9.46357856814976e-12;0.05796235183281813;8.03917989882834e-05;6.093744825820159e-10;3.675830544971651e-08;-1.0110740728110797e-10;-0.00655187807626293;-3.6039913706790995e-12;-6.755215293591456e-06;-7.062382004714726e-08;-1.0182612513909718e-08;2.5663905199689192e-09;0.0;0.00017377438423996696;1.6729052300080358;-1.4070418889207774e-05
b6a3b688efc21f2d31634ff7b4426419;market activity;ecoinvent_3.9.1_consequential;RoW;market for tree seedling, for planting;tree seedling, for planting;unit;b6a3b688efc21f2d31634ff7b4426419;4.5330168908511045e-07;0.0;2.970592005157918e-07;2.297620423044086e-09;4.014465277286192e-05;3.7223026154800225e-11;0.0002515145238862869;4.135891538187853e-12;0.037977852227619666;0.00010785942375672108;0.08447251337016408;0.0002453340749544421;0.0009456301600298072;0.00010786172137714408;0.08451265802293689;8.76446834344329e-12;0.0001547933833165565;1.5442051698980938e-06;0.00013721247192402566;3.699428367297234e-09;0.01361988538850629;2.7855402415574218e-05;0.16402542710872964;4.143755788495101e-06;0.0;7.818251268944097e-10;4.4104837741527074e-08;2.557303086894601e-09;4.935221705582036e-13;3.389726011036368e-08;1.6028002019654874e-09;5.869159218154588e-09;0.006872824079303493;7.2850528852681e-07;-1.7519120346003706e-10;0.005731954296780889;0.0014151628256904262;1.49972743447201e-10;5.503536082928473e-09;-1.887697828053951e-11;0.0016228488327967338;-5.396215450716247e-13;7.670856627886129e-07;-1.2729158562551754e-08;1.4237175243688835e-09;7.333859693208473e-09;0.0;4.081688227220827e-05;0.15852589000630846;1.967304748208017e-06
8684cc3d24af93d4686abe6d69a3f5ab;market activity;ecoinvent_3.9.1_consequential;RoW;market for corrugated board box;corrugated board box;kilogram;8684cc3d24af93d4686abe6d69a3f5ab;-0.00024964024330058056;0.0;-0.0001686663750302906;-2.1845065243166588e-08;-0.021047075419165822;-3.5363276526315393e-10;0.0018478855248676488;-3.9292527034082554e-11;0.40736962141336636;0.0008364884183009572;-0.4845298037656431;0.003634741688055149;0.023956157891328843;0.000836466573235714;-0.505576879184809;4.811701827160008e-10;0.00451808145549595;0.00038661074716013613;0.002210749203966914;-8.156684727487277e-09;0.2043352642978216;0.00042383160644317725;0.49370810037861457;3.128371540793119e-05;0.0;1.1998307588342844e-08;4.1315578779409375e-07;5.193676228374283e-08;1.4069572452431897e-14;-9.410982245465828e-06;4.348422571677152e-09;-1.4252432282252232e-08;0.04150721701224776;1.4089070613025957e-05;-4.664036815677685e-09;0.08839834572395075;0.000598398703627192;2.8195873987048074e-09;7.62902160224469e-08;-3.1602319607695904e-10;0.022244239356738967;-7.479886830554926e-12;2.5777254367931822e-06;-1.4840953301618862e-07;7.816223351973598e-08;1.4105550015582648e-07;0.0;-0.004145096947584352;1.1010198187870475;0.00010800522610837715
a94a6cbfef92df5d348242b4007c83f4;market activity;ecoinvent_3.9.1_consequential;RoW;market for metallization paste, back side;metallization paste, back side;kilogram;a94a6cbfef92df5d348242b4007c83f4;0.020205383295940318;0.0;0.013650523460722827;-7.52989096271597e-06;-0.19131967919422954;-1.2183729274426234e-07;0.2219585406414357;-1.3537476131067546e-08;17.262796550967593;-0.4170869302721705;94.10104726524648;0.09970847101519002;6.601789580611126;-0.41709446016313334;93.90972758605197;2.068528972911356e-08;4.347106325802574;-0.013363604543726381;0.35514818684524746;6.568816350748103e-05;26.56257639289996;0.42519422196257645;-249.4618899954612;0.00420295395515883;0.0;-0.01809436273143938;0.0008254942610609269;1.279864944029479e-06;9.75883358536899e-13;0.004281442596240651;2.9438084686056124e-06;7.683722407282742e-07;-11.726411949966986;0.0029045666690115783;-1.0068040338211133e-06;61.75445929550967;0.8207820012428243;1.3607286345435746e-06;6.184402836021098e-05;-1.8644069364728603e-07;4.115178012012877;-6.063507980673929e-09;0.008305468498834578;0.6777853101406229;3.360159262371943e-06;3.6619280237391203e-06;0.0;-0.002944131365615848;-4967.291956768703;0.004643096090658736
071990bd8b0418642a87cb0543967782;market activity;ecoinvent_3.9.1_consequential;GLO;market for bottom ash, MSWI-WWT, WW from grass refinery;bottom ash, MSWI-WWT, WW from grass refinery;kilogram;071990bd8b0418642a87cb0543967782;-9.867680586581495e-08;0.0;-6.475655364633403e-08;-5.1267456928881324e-11;0.9999528446829018;-8.385216221712161e-13;2.074209022752431e-05;-9.31690633454382e-14;-0.02309776848920814;-2.644426553474886e-05;-0.047312708237881064;-3.937825109756223e-06;-0.00015162366582834567;-2.644431680220578e-05;0.9526401364450219;-3.904816678033792e-12;-5.455781950125253e-05;-8.034859707859357e-08;-6.0299232977408605e-05;-2.9203685261584456e-09;-0.005446571603489669;-5.9271923819839795e-06;-0.004873419244939033;-9.532670963494392e-07;0.0;-3.717677140399467e-10;-1.1481609432248137e-08;-8.746079697030662e-10;-1.895551177220288e-15;-5.126904904309067e-09;-1.0468364397346849e-09;-6.542234730934469e-10;-0.0004437125579947566;-1.418041307667916e-07;6.38666462656149e-11;-0.005857021236387529;-7.208663885151244e-06;-8.714764524846201e-11;-3.965617412093495e-09;1.1998050029133609e-11;-0.0006535089978216469;3.888096381305882e-13;-1.4068231107360084e-07;7.884465801708827e-09;-6.343061228720805e-10;-2.4351094141635383e-09;0.0;-2.3326491101533463e-05;-0.013466824554647677;-8.76489490355067e-07
5e3dc256c9c1d43c710ca7f731da0853;market activity;ecoinvent_3.9.1_consequential;RoW;market for isobutanol;isobutanol;kilogram;5e3dc256c9c1d43c710ca7f731da0853;2.725993786810217e-06;0.0;1.8355017808204735e-06;1.393477609973432e-09;-0.0011465398579027935;2.2719297177083893e-11;0.0018169819232027953;2.524366196276037e-12;0.2500675000357807;0.0008174142448030782;0.792745934060199;0.0007850213763730881;0.03234324996966517;0.000817415638280688;0.791599394202297;8.764228459797554e-10;0.006886337120567741;1.2620404916562419e-05;0.005313818107580599;-1.552481814703686e-07;0.34675974090713874;0.002138608498705735;3.550957088567053;0.00016183462115705507;0.0;4.409304430162334e-08;1.418116944237285e-06;2.3746604333108415e-07;1.7424540325137144e-15;5.150746698979808e-07;3.9346131816544055e-09;9.752359073671096e-08;0.5686076274677526;5.166168404976711e-05;-1.668343498179734e-08;0.29033900085670233;0.00016668412289767918;6.8051983578450785e-09;7.019835343197553e-08;-6.196634290582876e-10;0.06911725113991465;-6.882641332742177e-12;1.7050913154897273e-05;-2.095936616093275e-07;1.423678557196334e-07;6.551048891648641e-07;0.0;0.00014362624782229981;6.52711683957359;0.00019672509030440227
