activity type;reference product;code;name;unit;location;database;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;cocoons;568ab77b2b050072910877b1b3f6da1d;market for cocoons;kilogram;RoW;ecoinvent_3.9.1_consequential;149;Raising of other animals;2944;Silk-worm cocoons suitable for reeling;;
market activity;bottom ash, MSWI-WWT, WW from wafer fabrication;7b9cb2eed2bfb278d4d3dc5d2b4ae34e;market for bottom ash, MSWI-WWT, WW from wafer fabrication;kilogram;GLO;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;paper, melamine impregnated;124459123a864fc55b917c3a035013a6;market for paper, melamine impregnated;kilogram;RoW;ecoinvent_3.9.1_consequential;1621;Manufacture of veneer sheets and wood-based panels;32149;Other paper and paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, gummed or adh[…];ProcBio;Pulp & paper
market activity;oxalic acid;8ff73561d1f9ef3f2641f3137ca57b79;market for oxalic acid;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market activity;polyurethane, flexible foam;253029a0def5a705ea411ee8a23f5692;market for polyurethane, flexible foam;kilogram;RoW;ecoinvent_3.9.1_consequential;2013;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
market activity;three and five layered board;f65d23736551731c56d7c673ce31c86f;market for three and five layered board;cubic meter;RoW;ecoinvent_3.9.1_consequential;1621;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
market activity;sheet rolling, copper;749ba0e3f19d22586b80ffe56c0f74ca;market for sheet rolling, copper;kilogram;GLO;ecoinvent_3.9.1_consequential;2420;Manufacture of basic precious and other non-ferrous metals;4151;Semi-finished products of copper or copper alloys;MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;zircon;32d7f8cfbfb004fc6f3920a863955614;market for zircon;kilogram;GLO;ecoinvent_3.9.1_consequential;729;Mining of other non-ferrous metal ores;4160;"Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]";MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ventilation system, decentralized, 6 x 120 m3/h, steel ducts, with earth tube heat exchanger;6c86a257f44803af5c2a8766f44418d5;market for ventilation system, decentralized, 6 x 120 m3/h, steel ducts, with earth tube heat exchanger;unit;GLO;ecoinvent_3.9.1_consequential;4322;Plumbing, heat and air-conditioning installation;44815;Fans and ventilating or recycling hoods of the domestic type;MachElecTrans;Metal/electronic equipments and parts
market activity;mulberry leaves;58ee57b68ae7bae50cddca61e90b83e7;market for mulberry leaves;kilogram;GLO;ecoinvent_3.9.1_consequential;127;Growing of beverage crops;1353;Raspberries, blackberries, mulberries and loganberries;OreMinFuel;Ores, minerals & fuels
market activity;sodium arsenide;c84a74cc492adaf347f8d353bc88d015;market for sodium arsenide;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
ordinary transforming activity;sweet sorghum grain;02ed88e3e0ca33788a5457526681cd60;sweet sorghum grain to generic market for energy feed;kilogram;GLO;ecoinvent_3.9.1_consequential;111;Growing of cereals (except rice), leguminous crops and oil seeds;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
market activity;ammonium chloride;8dc70af156ce89386897a21ce1abf565;market for ammonium chloride;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34653;"Ammonium chloride; nitrites";Chemical;Chemical products
market activity;1,1-difluoroethane, HFC-152a;d58bebfceec44f2f0e22c6ad9e45773d;market for 1,1-difluoroethane, HFC-152a;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;inorganic nitrogen fertiliser, as N;d774653c06109b895545a48cba1c220f;market for inorganic nitrogen fertiliser, as N;kilogram;RoW;ecoinvent_3.9.1_consequential;161;Support activities for crop production;3461;Mineral or chemical fertilizers, nitrogenous;Chemical;Chemical products
market activity;sewage sludge, 75% water, WWT, WW from vegetable oil refinery;650b2cf0e221a3f22a88bb76b2995476;market for sewage sludge, 75% water, WWT, WW from vegetable oil refinery;kilogram;GLO;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
market activity;expanded vermiculite;ba1ffda5f7b86ffed2cc3735f104638c;market for expanded vermiculite;kilogram;GLO;ecoinvent_3.9.1_consequential;2399;Manufacture of other non-metallic mineral products n.e.c.;37990;Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, article[…];GlasNonMetal;Glass and other non-metallic products
market activity;chloroacetyl chloride;74b3d0c57be1f366436401119ce464e4;market for chloroacetyl chloride;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;salicylic acid;4a88d1c738d4d4a519cad0c246fac89a;market for salicylic acid;kilogram;GLO;ecoinvent_3.9.1_consequential;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market activity;wastewater, average;0cc013c76f4d67611ae76ec84deefda4;market for wastewater, average;cubic meter;RoW;ecoinvent_3.9.1_consequential;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;hard disk drive, for laptop computer;91f18e4a71c7435295e855e5b1d2641b;market for hard disk drive, for laptop computer;unit;GLO;ecoinvent_3.9.1_consequential;2620;Manufacture of computers and peripheral equipment;45271;Fixed media storage units;MachElecTrans;Metal/electronic equipments and parts
market activity;residues, MSWI-WWT, condensate from light oil boiler;28de96e53445d2ef532206ffb8412e3f;market for residues, MSWI-WWT, condensate from light oil boiler;kilogram;GLO;ecoinvent_3.9.1_consequential;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;indium tin oxide powder, nanoscale, for sputtering target;7b3b26429ff5c145c2a6dc0189a09e6f;market for indium tin oxide powder, nanoscale, for sputtering target;kilogram;RoW;ecoinvent_3.9.1_consequential;2029;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
market activity;white spirit;6f294d7c76a44f2de72d285a2802695d;market for white spirit;kilogram;GLO;ecoinvent_3.9.1_consequential;1920;Manufacture of refined petroleum products;33350;White spirit and special boiling point industrial spirits;OreMinFuel;Ores, minerals & fuels
market activity;impact extrusion of steel, hot, 2 strokes;511021517cd6a07300f0775a775ecc05;market for impact extrusion of steel, hot, 2 strokes;kilogram;GLO;ecoinvent_3.9.1_consequential;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
market activity;magnesium;908fcd2e19be274cc5feff4672191668;market for magnesium;kilogram;GLO;ecoinvent_3.9.1_consequential;2420;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;concrete, 40MPa;e8c61e5fe126be1db5d8444740b4200c;market for concrete, 40MPa;cubic meter;RoW;ecoinvent_3.9.1_consequential;2395;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass and other non-metallic products
market activity;used tram;fdbf98293b489c8d5960eb3fa8dbdfd7;market for used tram;unit;GLO;ecoinvent_3.9.1_consequential;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
