activity type;reference product;code;name;unit;location;database;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;holmium oxide;4ad0d1c39071582c4f0126a465493e35;market for holmium oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;potassium perchlorate;de109d428c6adc495f23ecd1b116aa7a;market for potassium perchlorate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market activity;sugar beet;826b5633056a1337924451d3231fd0e2;market for sugar beet;kilogram;RoW;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1801;Sugar beet;Chemical;Chemical products
market activity;ozone, liquid;e542f5aaf1d9e3b8ed963dc8d891e640;market for ozone, liquid;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;used intermodal shipping container, 20-foot;8cab8c84b5d5a53c4363102c32d5aee1;market for used intermodal shipping container, 20-foot;unit;GLO;ecoinvent_3.9.1_cutoff;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;cathode, LFP, for Li-ion battery;de9d213ce13f4f537837dea3b4f9faf7;market for cathode, LFP, for Li-ion battery;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;46430;Parts of primary cells, primary batteries and electric accumulators (including separators);MachElecTrans;Metal/electronic equipments and parts
market activity;photovoltaic slanted-roof installation, 3kWp, multi-Si, laminated, integrated, on roof;6930e2c63b586572fcb0b6be513bd2cd;market for photovoltaic slanted-roof installation, 3kWp, multi-Si, laminated, integrated, on roof;unit;GLO;ecoinvent_3.9.1_cutoff;3320;Installation of industrial machinery and equipment;87360;Installation services of electrical machinery and apparatus n.e.c.;;
market activity;coating from waste cathode ray tube display;a2c346046d9534cb2a120746de70bc90;market for coating from waste cathode ray tube display;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
market activity;residues, MSWI-WWT, WW from medium density board production;4329d9a0c9ec3d5e3b73ade12f2ebce0;market for residues, MSWI-WWT, WW from medium density board production;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;brazing solder, cadmium free;73fa4f2bb18548be0e00c1de8cd6a10f;market for brazing solder, cadmium free;kilogram;GLO;ecoinvent_3.9.1_cutoff;2029;Manufacture of other chemical products n.e.c.;42950;Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or core[…];ProcBio;Food & beverages, animal feed
market activity;waste paperboard;c6ca93139d95740543d55d391a89abc9;market for waste paperboard;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39240;Waste and scrap of paper or paperboard;AgriForeAnim;Agricultural and forestry products
market activity;air filter, in exhaust air valve;495616378b5d9013197ab093e3181662;market for air filter, in exhaust air valve;unit;GLO;ecoinvent_3.9.1_cutoff;2819;Manufacture of other general-purpose machinery;43914;Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…];MachElecTrans;Metal/electronic equipments and parts
market activity;sodium tetrahydridoborate;da1a6c325d3d2ebf5fcfc9737f7f8c7d;market for sodium tetrahydridoborate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34280;"Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides";Chemical;Chemical products
market activity;perfluoropentane;6bbb367fa3e03a1a151f4277a6fd81ae;market for perfluoropentane;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
market activity;gold;36312a62a043eb8374d232cf30167c22;market for gold;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;41320;Gold (including gold plated with platinum), unwrought or in semi-manufactured forms, or in powder form;MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;heat and power co-generation unit, 50kW electrical, components for electricity only;d831c302d2613afe2d6c15cf0c45262f;market for heat and power co-generation unit, 50kW electrical, components for electricity only;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;461;Electric motors, generators and transformers, and parts thereof;MachElecTrans;Metal/electronic equipments and parts
market activity;polyethylene, high density, granulate, recycled;97c1c52be0943c8e3cbae2351d4431a5;market for polyethylene, high density, granulate, recycled;kilogram;RoW;ecoinvent_3.9.1_cutoff;3830;Materials recovery;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
market activity;heat and power co-generation unit, organic Rankine cycle, 1400kW thermal, building;e59bfb8a17e41871f9564d5b149a917f;market for heat and power co-generation unit, organic Rankine cycle, 1400kW thermal, building;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;53262;Power plants;;
market activity;polyester resin, unsaturated;dd91084138e270cdb3c7fa5c470cddf5;market for polyester resin, unsaturated;kilogram;RoW;ecoinvent_3.9.1_cutoff;2013;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
market activity;venting of argon, crude, liquid;6897f6ad35793ee0a5a13cc7c8a69338;market for venting of argon, crude, liquid;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;94339;Other non-hazardous waste treatment and disposal services;;
ordinary transforming activity;neutralising agent, sodium hydroxide-equivalent;5d61ad8acd268231de4bb508d5f9debf;sodium hydroxide to generic market for neutralising agent;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;1,1-difluoroethane, HFC-152a;36feee202b70ec0ca2d8e4208dd82e8c;market for 1,1-difluoroethane, HFC-152a;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;base oil;a21a8797c3530c968b313a6656c9481f;market for base oil;kilogram;GLO;ecoinvent_3.9.1_cutoff;1920;Manufacture of refined petroleum products;3338;Lubricants;OreMinFuel;Ores, minerals & fuels
market activity;sewage sludge, 70% water, WWT[U], WW from lorry production;f97db8d45672c690064fce40ef0364d0;market for sewage sludge, 70% water, WWT[U], WW from lorry production;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
market activity;ammonium sulfate;fdc3aa0957da0e3ac1ddc7ecd32be77b;market for ammonium sulfate;kilogram;RoW;ecoinvent_3.9.1_cutoff;2012;Manufacture of fertilizers and nitrogen compounds;34612;Ammonium sulphate;Chemical;Chemical products
market activity;mobile cable yarder, trailer-mounted;4072149acd7523befccf7914b2162dd7;market for mobile cable yarder, trailer-mounted;unit;GLO;ecoinvent_3.9.1_cutoff;2821;Manufacture of agricultural and forestry machinery;441;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments and parts
ordinary transforming activity;supplementary cementitious materials;b02817e6a63b0f687287de456ce4bc75;basic oxygen furnace sludge, for recovery to generic market for supplementary cementitious materials;kilogram;RoW;ecoinvent_3.9.1_cutoff;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
market activity;industrial furnace, natural gas;7469b74d713affff0dd6032ecd0beee7;market for industrial furnace, natural gas;unit;GLO;ecoinvent_3.9.1_cutoff;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
market activity;scandium oxide;105d34b6b34a5de233596a08ebb30578;market for scandium oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;2420;Manufacture of basic precious and other non-ferrous metals;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;carbon dioxide, liquid;cfe458937a2d61f41220ba3fd59e8f7a;market for carbon dioxide, liquid;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
market activity;biomethane, medium pressure, vehicle grade;539c211beecc4237d96ea968e53d83cf;market for biomethane, medium pressure, vehicle grade;kilogram;RoW;ecoinvent_3.9.1_cutoff;3520;"Manufacture of gas; distribution of gaseous fuels through mains";17200;Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons;OreMinFuel;Ores, minerals & fuels
market activity;sheet rolling, aluminium;acf665d13787149d4c1e71a8ae475b41;market for sheet rolling, aluminium;kilogram;GLO;ecoinvent_3.9.1_cutoff;2420;Manufacture of basic precious and other non-ferrous metals;4153;Semi-finished products of aluminium or aluminium alloys;MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;vinyl fluoride;993719fadf9615b45ca09a1401393b63;market for vinyl fluoride;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;paris market carrot;8150058aa52dc9152a0f1df740fd96bd;market for paris market carrot;kilogram;GLO;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1251;Carrots and turnips;OreMinFuel;Ores, minerals & fuels
market activity;glider, for electric scooter;2cc4bd5b2db86e43d917f42317a83e36;market for glider, for electric scooter;kilogram;GLO;ecoinvent_3.9.1_cutoff;3091;Manufacture of motorcycles;49941;Parts and accessories of motorcycles and side-cars;MachElecTrans;Metal/electronic equipments and parts
market activity;propylene glycol, liquid;73af3e0b44a59173a69d0b0c78739f68;market for propylene glycol, liquid;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market activity;building, luxury hotel;7345e2bc899714b403d8bb869a54dd94;market for building, luxury hotel;unit;GLO;ecoinvent_3.9.1_cutoff;4100;Construction of buildings;53129;Other non-residential buildings;;
market activity;used powertrain, electric scooter;5a3609c8028ec77268760d5850e3a394;market for used powertrain, electric scooter;kilogram;GLO;ecoinvent_3.9.1_cutoff;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;alfalfa-grass silage;01d59f12e272b87bf58589cdb975fe97;market for alfalfa-grass silage;kilogram;GLO;ecoinvent_3.9.1_cutoff;119;Growing of other non-perennial crops;1912;Alfalfa for forage and silage;;
market activity;battery, Li-ion, NMC111, rechargeable, prismatic;b18880bba2369a5e12bd69ad239dcbf9;market for battery, Li-ion, NMC111, rechargeable, prismatic;kilogram;GLO;ecoinvent_3.9.1_cutoff;2720;Manufacture of batteries and accumulators;46410;Primary cells and primary batteries;MachElecTrans;Metal/electronic equipments and parts
market activity;packing, fibre cement product;000c19e1bb4ec38379c836cdb5b55c7f;market for packing, fibre cement product;kilogram;GLO;ecoinvent_3.9.1_cutoff;8292;Packaging activities;85400;Packaging services;;
market activity;cobalt hydroxide;15bc9af41ae15098d9fa3e9fd1fa69c6;market for cobalt hydroxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;scrap steel;89c4aeaea4d7cf975c64b739cef2cdcb;market for scrap steel;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
market activity;tomato, processing grade;e5008c3d707688112dc1bd2d309b4bdd;market for tomato, processing grade;kilogram;GLO;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1234;Tomatoes;OreMinFuel;Ores, minerals & fuels
market activity;furnace, pellet, 15kW;af269a0deec50c1b37f01cb51e6972b1;market for furnace, pellet, 15kW;unit;GLO;ecoinvent_3.9.1_cutoff;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
market activity;purified terephthalic acid;01c0151ec2cf026bdd266f6dbc39eb6e;market for purified terephthalic acid;kilogram;GLO;ecoinvent_3.9.1_cutoff;2013;Manufacture of plastics and synthetic rubber in primary forms;347;Plastics in primary forms;PlastRub;Plastics & rubber products
market activity;helium, crude;058d621a547f810834b939ff4a57b42e;market for helium, crude;kilogram;GLO;ecoinvent_3.9.1_cutoff;3520;"Manufacture of gas; distribution of gaseous fuels through mains";34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market activity;chlorine, gaseous;303382ff3d00bfaecdd05f38bb67f3d3;market for chlorine, gaseous;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market activity;perlite;5a05da2a20b79671999076ea858d95a0;market for perlite;kilogram;GLO;ecoinvent_3.9.1_cutoff;810;Quarrying of stone, sand and clay;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market activity;ash, from combustion of bagasse from sugarcane;006fa76d418c90a22606cc0522aa4181;market for ash, from combustion of bagasse from sugarcane;kilogram;GLO;ecoinvent_3.9.1_cutoff;161;Support activities for crop production;86119;Other support services to crop production;;
market activity;residue from mechanical treatment, IT accessory;1fb0b0f0b890263fcd84e21aaca5c4f2;market for residue from mechanical treatment, IT accessory;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
market activity;4-tert-butyltoluene;809850cb8729ba9ed956f6e7b6c49780;market for 4-tert-butyltoluene;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;sulfuric acid;bd7dddfe46e52010e6555a437bd04f4e;market for sulfuric acid;kilogram;RoW;ecoinvent_3.9.1_cutoff;2012;Manufacture of fertilizers and nitrogen compounds;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market activity;solar collector system, Cu flat plate collector, multiple dwelling, hot water;ac3062a87d5126fa2bcac590a2f127b9;market for solar collector system, Cu flat plate collector, multiple dwelling, hot water;unit;GLO;ecoinvent_3.9.1_cutoff;4322;Plumbing, heat and air-conditioning installation;54631;Heating equipment installation services;;
market activity;jatropha seed;4fa7d0ace170362f96ca12aa3152091f;market for jatropha seed;kilogram;GLO;ecoinvent_3.9.1_cutoff;111;Growing of cereals (except rice), leguminous crops and oil seeds;1963;Flower seeds;;
market activity;silicon, electronics grade;e44d6f6a676cdfff45f5b9eece638152;market for silicon, electronics grade;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;waste aluminium;939f02554f3e69536ea934383f4c95a4;market for waste aluminium;kilogram;GLO;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural and forestry products
market activity;anode factory;55dee3c1074c8183507d6482e7d9a280;market for anode factory;unit;GLO;ecoinvent_3.9.1_cutoff;4100;Construction of buildings;53269;Other constructions for manufacturing;;
market activity;sodium dithionite, anhydrous;136faafd9398fb964e1055efc004ec9a;market for sodium dithionite, anhydrous;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;cucumber;2b4fb423557ff1bf236754634d4c7b73;market for cucumber;kilogram;GLO;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1232;Cucumbers and gherkins;OreMinFuel;Ores, minerals & fuels
market activity;wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry;7ff21ce33200bd4b0c449bff5d436e23;market for wood preservation, dipping/immersion method, organic solvent-based, indoor use, dry;kilogram;GLO;ecoinvent_3.9.1_cutoff;1610;Sawmilling and planing of wood;54730;Painting services;;
market activity;passenger car maintenance;d2f94a503e310ed140ff6e5f23da4643;market for passenger car maintenance;unit;GLO;ecoinvent_3.9.1_cutoff;4520;Maintenance and repair of motor vehicles;87141;Maintenance and repair services of motor vehicles;;
market activity;thermoforming of plastic sheets;034e1c6fa82253d65385d7b9a4389494;market for thermoforming of plastic sheets;kilogram;GLO;ecoinvent_3.9.1_cutoff;2220;Manufacture of plastics products;89200;Moulding, pressing, stamping, extruding and similar plastic manufacturing services;;
market activity;cabbage white;9f1a495659062ffc1fc4c3dac57c6f36;market for cabbage white;kilogram;GLO;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1212;Cabbages;OreMinFuel;Ores, minerals & fuels
market activity;landed tuna, frozen, EPO;024bb71edfdf7b917269f73a0ddfa1e0;market for landed tuna, frozen, EPO;kilogram;GLO;ecoinvent_3.9.1_cutoff;311;Marine fishing;21215;Tunas, skipjack or stripe-bellied bonito, frozen;ProcBio;Food & beverages, animal feed
market activity;grape;b4b5806ca5fe8eeda791c16a92de27ac;market for grape;kilogram;GLO;ecoinvent_3.9.1_cutoff;121;Growing of grapes;1330;Grapes;OreMinFuel;Ores, minerals & fuels
market activity;barge tanker;289ecbe1d9933ef5335e0657a7113074;market for barge tanker;unit;GLO;ecoinvent_3.9.1_cutoff;3011;Building of ships and floating structures;49314;Other vessels for the transport of goods and other vessels for the transport of both persons and goods;MachElecTrans;Transport vehicles
market activity;bilge oil;097397250fb353f47a4048a92f3a786b;market for bilge oil;kilogram;RoW;ecoinvent_3.9.1_cutoff;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
ordinary transforming activity;supplementary cementitious materials;246e352c95bfb6d2ce1bd2c8bba99b3c;basic oxygen furnace secondary metallurgy slag, for recovery to generic market for supplementary cementitious materials;kilogram;RoW;ecoinvent_3.9.1_cutoff;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
market activity;aluminium removed by turning, primarily dressing, computer numerical controlled;89228ef0c848f289ebaab135ca2524a2;market for aluminium removed by turning, primarily dressing, computer numerical controlled;kilogram;GLO;ecoinvent_3.9.1_cutoff;2592;"Treatment and coating of metals; machining";39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural and forestry products
market activity;cast iron removed by milling, small parts;43c9af565c8378e9c3499181c43cd77b;market for cast iron removed by milling, small parts;kilogram;GLO;ecoinvent_3.9.1_cutoff;2592;"Treatment and coating of metals; machining";39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
market activity;bale loading;7e2523c0c9496193830fdd35910894dd;market for bale loading;unit;GLO;ecoinvent_3.9.1_cutoff;163;Post-harvest crop activities;86111;Post-harvest crop services;;
market activity;hydrochloric acid, without water, in 30% solution state;00d51d61fff9d552854a91bd45ad14c4;market for hydrochloric acid, without water, in 30% solution state;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
market activity;sodium silicate, spray powder, 80%;8ff8021cced130c0e72b1b341b0b21b4;market for sodium silicate, spray powder, 80%;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34270;"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]";Chemical;Chemical products
market activity;wood preservation, vacuum pressure method, organic salts, Cr-free, outdoor use, ground contact;8cffd4ee4b7317bfefa3891a114f84cf;market for wood preservation, vacuum pressure method, organic salts, Cr-free, outdoor use, ground contact;kilogram;GLO;ecoinvent_3.9.1_cutoff;1610;Sawmilling and planing of wood;54730;Painting services;;
market activity;geothermal power plant, Hot-Dry-Rock;f70dadbb60d12d9d6ad81367600089b2;market for geothermal power plant, Hot-Dry-Rock;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;53262;Power plants;;
ordinary transforming activity;protein feed, 100% crude;f253e86a0784206249ca13906692fe55;sugar beet pulp to generic market for energy feed;kilogram;GLO;ecoinvent_3.9.1_cutoff;1072;Manufacture of sugar;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
ordinary transforming activity;protein feed, 100% crude;b148a6d58bd283527642e70ed5763d4d;cottonseed meal to generic market for protein feed;kilogram;GLO;ecoinvent_3.9.1_cutoff;1080;Manufacture of prepared animal feeds;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
market activity;expanded perlite;db2867a51b23fceb9fb852c4f36b2808;market for expanded perlite;kilogram;GLO;ecoinvent_3.9.1_cutoff;2399;Manufacture of other non-metallic mineral products n.e.c.;37990;Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, article[…];GlasNonMetal;Glass and other non-metallic products
market activity;building, multi-storey;6c31cc8ee2de328bdad350223ea1778e;market for building, multi-storey;cubic meter;GLO;ecoinvent_3.9.1_cutoff;4100;Construction of buildings;531;Buildings;;
market activity;wastewater from glass production;0e74b06e81a08d0e75274b45cdb67155;market for wastewater from glass production;cubic meter;RoW;ecoinvent_3.9.1_cutoff;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;borehole heat exchanger, 150m;5d68a7fd42b989d214867478b999a04c;market for borehole heat exchanger, 150m;unit;GLO;ecoinvent_3.9.1_cutoff;2819;Manufacture of other general-purpose machinery;43911;"Producer gas or water gas generators; acetylene gas generators and similar water process gas generators; disti[…]";MachElecTrans;Metal/electronic equipments and parts
market activity;bundle, energy wood, measured as dry mass;c09ff9913ddd9c6739f44bd3665cfa0f;market for bundle, energy wood, measured as dry mass;kilogram;RoW;ecoinvent_3.9.1_cutoff;220;Logging;31;Wood in the rough;ProcBio;Wood, straw & cork
market activity;wood chipping, industrial residual wood, stationary electric chipper;76e8f1567177fa9189cee8182917d81b;market for wood chipping, industrial residual wood, stationary electric chipper;kilogram;GLO;ecoinvent_3.9.1_cutoff;1610;Sawmilling and planing of wood;88311;Wood manufacturing services;;
market activity;lanthanum oxide;28fedd03b831e909660b2c383af429aa;market for lanthanum oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;3429;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;acetyl chloride;2c9017acfa79e72ed82355d9d5cc06b0;market for acetyl chloride;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;sewage sludge, 97% water, WWT, WW from LCD backlight production;16fcf03a77ae1401989920972031539a;market for sewage sludge, 97% water, WWT, WW from LCD backlight production;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
market activity;supplementary cementitious materials;d7c279bf726f3a5b8df611c3193c5761;market for supplementary cementitious materials;kilogram;RoW;ecoinvent_3.9.1_cutoff;2394;Manufacture of cement, lime and plaster;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
market activity;sputtering, indium tin oxide, for liquid crystal display;e0dee162f5617a7540fbd4b319b843ef;market for sputtering, indium tin oxide, for liquid crystal display;cubic meter;GLO;ecoinvent_3.9.1_cutoff;2592;"Treatment and coating of metals; machining";88731;Metal treatment and coating services;;
market activity;waste paper, sorted;07a7c669369badd1d5c07037078ce5b2;market for waste paper, sorted;kilogram;GLO;ecoinvent_3.9.1_cutoff;3830;Materials recovery;39240;Waste and scrap of paper or paperboard;AgriForeAnim;Agricultural and forestry products
market activity;tin slag;27e7f85a9b5c792c587a95bcf769a934;market for tin slag;kilogram;GLO;ecoinvent_3.9.1_cutoff;3822;Treatment and disposal of hazardous waste;39366;Waste and scrap of tin;AgriForeAnim;Agricultural and forestry products
market activity;landed hake, fresh;37f6b00dc91986e4d88797bd34d46785;market for landed hake, fresh;kilogram;GLO;ecoinvent_3.9.1_cutoff;311;Marine fishing;4241;Wild fish of Gadiformes, live, fresh or chilled;ProcBio;Food & beverages, animal feed
market activity;wastewater, average;0d3a623611cae56e348306c5dbcc0b4e;market for wastewater, average;cubic meter;RoW;ecoinvent_3.9.1_cutoff;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;nylon 6;15d8b2386c577db7fdc3b1152b55f2fc;market for nylon 6;kilogram;RoW;ecoinvent_3.9.1_cutoff;2013;Manufacture of plastics and synthetic rubber in primary forms;347;Plastics in primary forms;PlastRub;Plastics & rubber products
market activity;fibreboard, soft;397e1c85828439aa5eeee106a3451b9d;market for fibreboard, soft;cubic meter;RoW;ecoinvent_3.9.1_cutoff;1621;Manufacture of veneer sheets and wood-based panels;31449;Other fibreboard;ProcBio;Wood, straw & cork
market activity;structural timber;f6fb46049966e320371657e358732f71;market for structural timber;cubic meter;RoW;ecoinvent_3.9.1_cutoff;1621;Manufacture of veneer sheets and wood-based panels;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
market activity;calcareous marl;3f797041a2b9e296322084b716dca9fa;market for calcareous marl;kilogram;RoW;ecoinvent_3.9.1_cutoff;810;Quarrying of stone, sand and clay;15120;Marble and other calcareous monumental or building stone;OreMinFuel;Ores, minerals & fuels
market activity;1-naphthylacetic acid;0b39e4df490b36a711590c86b6250e1d;market for 1-naphthylacetic acid;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
market activity;zinc oxide;9d318a9ed434e9ecc8a8e59eea1789e4;market for zinc oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
market activity;low level radioactive waste for final repository;1f14484ce0ed9e03ca8adca81b3cda5c;market for low level radioactive waste for final repository;cubic meter;GLO;ecoinvent_3.9.1_cutoff;3822;Treatment and disposal of hazardous waste;33690;"Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]";OreMinFuel;Ores, minerals & fuels
ordinary transforming activity;mischmetal;107c3ee9f6d40c67bec2bfdda1749625;holmium oxide to generic market for mischmetal;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;waste plastic, consumer electronics, unsorted;70a9f0e319602644d639d1e1306e06fc;market for waste plastic, consumer electronics, unsorted;kilogram;RoW;ecoinvent_3.9.1_cutoff;3811;Collection of non-hazardous waste;39270;Waste, parings and scrap of plastics;AgriForeAnim;Agricultural and forestry products
