activity type;reference product;code;name;unit;location;database;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;gypsum, mineral;bb08ec2391fe658ef16b97668885c871;market for gypsum, mineral;kilogram;RoW;ecoinvent_3.9.1_cutoff;810;Quarrying of stone, sand and clay;15200;"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]";OreMinFuel;Ores, minerals & fuels
ordinary transforming activity;solvent, organic;7a535f4631a9377819d5f73e72d380c1;methylcyclopentane to generic market for solvent, organic;kilogram;GLO;ecoinvent_3.9.1_cutoff;20;Manufacture of chemicals and chemical products;341;Basic organic chemicals;Chemical;Chemical products
market activity;wastewater treatment facility, capacity 1E9l/year;88c1091f7a588f4e76463e2563d3b489;market for wastewater treatment facility, capacity 1E9l/year;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;53253;Sewage and water treatment plants;;
market activity;maneb;6cc7639016af711f8ff6673637f63b0b;market for maneb;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34662;Fungicides;Chemical;Chemical products
market activity;tilapia feed, 24-28% protein;fb3e1542af3742d3c552922bc5243917;market for tilapia feed, 24-28% protein;kilogram;GLO;ecoinvent_3.9.1_cutoff;1080;Manufacture of prepared animal feeds;2331;Preparations used in animal feeding;ProcBio;Food & beverages, animal feed
market activity;nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;bed662c65b77a2f151383ef73800c74b;market for nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;33710;Fuel elements (cartridges), non-irradiated, for nuclear reactors;OreMinFuel;Ores, minerals & fuels
market activity;magnesium chloride, from zirconium sponge production;88dadec1521be00abcbc3dc0325bd0fe;market for magnesium chloride, from zirconium sponge production;kilogram;GLO;ecoinvent_3.9.1_cutoff;2420;Manufacture of basic precious and other non-ferrous metals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;maintenance, stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;5ef8ce59a3b4e35da0e66e594ebc58d2;market for maintenance, stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;unit;GLO;ecoinvent_3.9.1_cutoff;3314;Repair of electrical equipment;87152;Maintenance and repair services of electrical machinery and apparatus n.e.c.;;
market activity;magnesium, for reuse in hafnium sponge production;ebf922b54e6bdb28dd1e01edddf1d47f;market for magnesium, for reuse in hafnium sponge production;kilogram;RoW;ecoinvent_3.9.1_cutoff;2420;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;cobalt sulfate;24e26531d5f313f55a4923ddf4ce7f12;market for cobalt sulfate;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
ordinary transforming activity;organo-mineral potassium fertiliser, as K2O;5a0e761dba780a95450cb8473e6836aa;inorganic potassium fertiliser, as K2O to generic market for organo-mineral potassium fertiliser, as K2O;kilogram;GLO;ecoinvent_3.9.1_cutoff;161;Support activities for crop production;34659;Fertilizers n.e.c.;Chemical;Chemical products
market activity;frozen fish sticks, hake;17ce6f33882f71849efa24d4fa8b9bce;market for frozen fish sticks, hake;kilogram;GLO;ecoinvent_3.9.1_cutoff;1075;Manufacture of prepared meals and dishes;21223;Fish meat, whether or not minced, frozen;ProcBio;Food & beverages, animal feed
market activity;wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;976a61b755e83c92847158feffad7777;market for wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet;kilogram;GLO;ecoinvent_3.9.1_cutoff;1610;Sawmilling and planing of wood;54730;Painting services;;
market activity;wood chips, from post-consumer wood, measured as dry mass;f7ab778f383bb3934c14dd58f4df3b72;market for wood chips, from post-consumer wood, measured as dry mass;kilogram;RoW;ecoinvent_3.9.1_cutoff;3830;Materials recovery;3928;Sawdust and wood waste and scrap;AgriForeAnim;Agricultural and forestry products
market activity;wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact;1fae7e8c2888570f6a51c1ebf5015703;market for wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact;kilogram;GLO;ecoinvent_3.9.1_cutoff;1610;Sawmilling and planing of wood;54730;Painting services;;
market activity;praseodymium oxide;2569d108fa88c377eb339db47a45a03f;market for praseodymium oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;3429;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;melon;74ef75bcb4332e7da92b0c1f1d6f8a2e;market for melon;kilogram;GLO;ecoinvent_3.9.1_cutoff;113;Growing of vegetables and melons, roots and tubers;1229;Cantaloupes and other melons;OreMinFuel;Ores, minerals & fuels
market activity;tilapia;0fcc7131b612b072f72a3fcd9b23ff26;market for tilapia;kilogram;GLO;ecoinvent_3.9.1_cutoff;322;Freshwater aquaculture;4212;Farmed freshwater fish, live, fresh or chilled;ProcBio;Food & beverages, animal feed
market activity;vinyl carbonate;8dfc0952b7c27b79e1c9c6eeb9774484;market for vinyl carbonate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;yarn, cotton;872ae9d2d262f9af18b2608d0e1f4687;market for yarn, cotton;kilogram;GLO;ecoinvent_3.9.1_cutoff;1311;Preparation and spinning of textile fibres;26360;Cotton yarn (other than sewing thread), containing 85% or more by weight of cotton;ProcBio;Textile
market activity;glass cullet, for Saint-Gobain ISOVER SA;d068f6d89ddf052c7287c946b401da98;market for glass cullet, for Saint-Gobain ISOVER SA;kilogram;GLO;ecoinvent_3.9.1_cutoff;3811;Collection of non-hazardous waste;37111;"Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass";GlasNonMetal;Glass and other non-metallic products
market activity;lemon;32e6fd05c8b157b17ce0e2dbd39b818a;market for lemon;kilogram;GLO;ecoinvent_3.9.1_cutoff;123;Growing of citrus fruits;1322;Lemons and limes;OreMinFuel;Ores, minerals & fuels
market activity;operation, dried roughage store, air dried, solar;304c5b4169725c168fdebea74db30cc5;market for operation, dried roughage store, air dried, solar;kilogram;GLO;ecoinvent_3.9.1_cutoff;163;Post-harvest crop activities;86111;Post-harvest crop services;;
market activity;1-pentanol;13705a7a97897a11dd78a92c87903fc8;market for 1-pentanol;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market activity;lightweight concrete block, polystyrene;6cd89faa138a9fa1bd0b0f3e71fb602e;market for lightweight concrete block, polystyrene;kilogram;RoW;ecoinvent_3.9.1_cutoff;2399;Manufacture of other non-metallic mineral products n.e.c.;379;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass and other non-metallic products
market activity;pyridazine-compound;455b2215d53fb94619c5a5d278f79ad2;market for pyridazine-compound;kilogram;GLO;ecoinvent_3.9.1_cutoff;2021;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market activity;grass, organic;39005c9bb3043a49b53c1c137a70c44c;market for grass, organic;kilogram;GLO;ecoinvent_3.9.1_cutoff;119;Growing of other non-perennial crops;1919;Forage products, n.e.c.;;
market activity;silicone product;cb548144c56921cd851d7c490fd4187f;market for silicone product;kilogram;RoW;ecoinvent_3.9.1_cutoff;2013;Manufacture of plastics and synthetic rubber in primary forms;34800;Synthetic rubber and factice derived from oils, and mixtures thereof with natural rubber and similar natural g[…];Chemical;Chemical products
market activity;resorcinol;f78f5dbfa94b5de5771fb779427d137e;market for resorcinol;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market activity;ethoxylated alcohol (AE11);2771305be48bbf3bcbe8ca566c7ea069;market for ethoxylated alcohol (AE11);kilogram;GLO;ecoinvent_3.9.1_cutoff;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;353;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
market activity;skidder;4856268a9526e6e3922ae86844815bf7;market for skidder;unit;GLO;ecoinvent_3.9.1_cutoff;2821;Manufacture of agricultural and forestry machinery;441;Agricultural or forestry machinery and parts thereof;MachElecTrans;Metal/electronic equipments and parts
market activity;used blower and heat exchange unit Storkair G 90;6c7cf5a102a39161dbcb7cb9d3b19919;market for used blower and heat exchange unit Storkair G 90;unit;GLO;ecoinvent_3.9.1_cutoff;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;waste plastic plaster, for final disposal;f2fac94b0298c7f7409a9e49a68528d7;market for waste plastic plaster, for final disposal;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39270;Waste, parings and scrap of plastics;AgriForeAnim;Agricultural and forestry products
market activity;impact extrusion of steel, warm, initial warming;934f8c26ac8ffd958807d43ab88ea24d;market for impact extrusion of steel, warm, initial warming;kilogram;GLO;ecoinvent_3.9.1_cutoff;2591;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";89330;Metal forging, pressing, stamping, roll forming and powder metallurgy services;;
market activity;heat and power co-generation unit, 200kW electrical, components for heat only;2438d970ebdcda02e9d9407abc812745;market for heat and power co-generation unit, 200kW electrical, components for heat only;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;431;Engines and turbines and parts thereof;MachElecTrans;Metal/electronic equipments and parts
market activity;residues, MSWI-WWT, WW, average;2f9febb1c11e9605cd89839138e55b60;market for residues, MSWI-WWT, WW, average;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;coconut oil, crude;b3551cc5425c448550d943ccc0fc71a1;market for coconut oil, crude;kilogram;GLO;ecoinvent_3.9.1_cutoff;1040;Manufacture of vegetable and animal oils and fats;21661;Coconut oil, crude;ProcBio;Food & beverages, animal feed
market activity;soil pH raising agent, as CaCO3;bab51cbc5c22ac6f6b1c37acf74856a7;market for soil pH raising agent, as CaCO3;kilogram;GLO;ecoinvent_3.9.1_cutoff;891;Mining of chemical and fertilizer minerals;34659;Fertilizers n.e.c.;Chemical;Chemical products
market activity;powertrain, for electric passenger car;e56e73e2509e29d118cff4d782cc563a;market for powertrain, for electric passenger car;kilogram;GLO;ecoinvent_3.9.1_cutoff;2710;Manufacture of electric motors, generators, transformers and electricity di;46960;"Parts for the goods of subclasses 46910, 46921 and 46929; electrical parts n.e.c. of machinery or apparatus";MachElecTrans;Metal/electronic equipments and parts
market activity;polyurethane, flexible foam;c677cbb539471e96d0fcef9ae05893fa;market for polyurethane, flexible foam;kilogram;RoW;ecoinvent_3.9.1_cutoff;2013;Manufacture of plastics and synthetic rubber in primary forms;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
market activity;methyl tert-butyl ether;840b860a0fb54e43a4d5f0ea9ff7b738;market for methyl tert-butyl ether;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market activity;wind turbine, 750kW, onshore;ed05917f7ebac6aec73cd3e349a1d916;market for wind turbine, 750kW, onshore;unit;GLO;ecoinvent_3.9.1_cutoff;2811;Manufacture of engines and turbines, except aircraft, vehicle and cycle eng;53262;Power plants;;
market activity;uranium, enriched 4.2%, per separative work unit;ea1a6d0979ed5696807fe4de715b04d1;market for uranium, enriched 4.2%, per separative work unit;unit;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;33620;"Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]";OreMinFuel;Ores, minerals & fuels
market activity;methallylchloride;fe539a2b99e86794b4736fd837bb8ca2;market for methallylchloride;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market activity;aluminium removed by milling, average;784f73d972061c425989938ae16aaa52;market for aluminium removed by milling, average;kilogram;GLO;ecoinvent_3.9.1_cutoff;2592;"Treatment and coating of metals; machining";39363;Waste and scrap of aluminium;AgriForeAnim;Agricultural and forestry products
market activity;phosgene, liquid;85e0369591f9007f1380c2d4a944fe6f;market for phosgene, liquid;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34;Basic chemicals;Chemical;Chemical products
market activity;plug, inlet and outlet, for network cable;357931d7166ed6247597aff9d82bbe13;market for plug, inlet and outlet, for network cable;unit;GLO;ecoinvent_3.9.1_cutoff;2610;Manufacture of electronic components and boards;471;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments and parts
market activity;sewage sludge, 97% water, WWT, WW from particle board production;9202d36714ab1d86e1c104c2c6d8ab80;market for sewage sludge, 97% water, WWT, WW from particle board production;kilogram;RoW;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
market activity;power block, solar thermal parabolic trough, 50 MW;d601f43a0428d60e86a2d7c3b40ad3f1;market for power block, solar thermal parabolic trough, 50 MW;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;54262;General construction services of power plants;;
market activity;fibre, jute;cc7be918b9ef665aa798a38ab594d7ac;market for fibre, jute;kilogram;GLO;ecoinvent_3.9.1_cutoff;1311;Preparation and spinning of textile fibres;1922;Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie;;
market activity;sodium ethyl xanthate;b0175530e5a50fe6ccec08a4eea4cabf;market for sodium ethyl xanthate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;3416;"Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids and[…]";Chemical;Chemical products
market activity;residues, MSWI-WWT, WW from wafer fabrication;2a1fe73b0a0737084c6bdade039889ac;market for residues, MSWI-WWT, WW from wafer fabrication;kilogram;GLO;ecoinvent_3.9.1_cutoff;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
market activity;portachrom;9826b49ccc99578f3b3da20e68f7027c;market for portachrom;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;4160;"Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]";MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;mine infrastructure, open cast, peat;623a935a15615061a82223c4ba84ce63;market for mine infrastructure, open cast, peat;unit;GLO;ecoinvent_3.9.1_cutoff;892;Extraction of peat;53261;Mining constructions;;
market activity;wastewater, unpolluted;d4e40c3c68ee7ce73395c102f840ec3c;market for wastewater, unpolluted;cubic meter;RoW;ecoinvent_3.9.1_cutoff;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
market activity;metal working, average for copper product manufacturing;7ad3e2578a4b5affa8eb0390c2d8d0f7;market for metal working, average for copper product manufacturing;kilogram;GLO;ecoinvent_3.9.1_cutoff;259;"Manufacture of other fabricated metal products; metalworking service activit";893;Casting, forging, stamping and similar metal manufacturing services;;
market activity;sulfuryl chloride;a7d5ae11aeac1ec3ce1f409805e56898;market for sulfuryl chloride;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market activity;neodymium oxide;bfb5b92cc635472a79a03c702a79fd53;market for neodymium oxide;kilogram;GLO;ecoinvent_3.9.1_cutoff;729;Mining of other non-ferrous metal ores;3429;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;waste bulk iron, excluding reinforcement;b35424ce6cca7c162934d1eeb057f8c6;market for waste bulk iron, excluding reinforcement;kilogram;RoW;ecoinvent_3.9.1_cutoff;3830;Materials recovery;39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
market activity;ethylene carbonate;95f0c8456cc0e6d5058d03c57ed84fe1;market for ethylene carbonate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
market activity;ethylenediamine;7e72d3634ecb14abbc8b2d48e705c57d;market for ethylenediamine;kilogram;RoW;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market activity;ferry;1bb0afe88c73e144ef02fa79095a7761;market for ferry;unit;GLO;ecoinvent_3.9.1_cutoff;3011;Building of ships and floating structures;49314;Other vessels for the transport of goods and other vessels for the transport of both persons and goods;MachElecTrans;Transport vehicles
market activity;ethylene glycol dimethyl ether;cf0f60252ff224f502c4821637299d35;market for ethylene glycol dimethyl ether;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
ordinary transforming activity;silky fibre;d5d28c2d6951102dadb02983a31c1747;fibre, viscose to generic market for silky fibres;kilogram;GLO;ecoinvent_3.9.1_cutoff;2030;Manufacture of man-made fibres;26220;Artificial staple fibres, carded, combed or otherwise processed for spinning;ProcBio;Textile
market activity;used capacitor;8d7ad1fcfadb807aa1bf93280b5dbde2;market for used capacitor;kilogram;GLO;ecoinvent_3.9.1_cutoff;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
market activity;maintenance, intermodal shipping container, 20-foot;896df2c721d9f623d457fd172ec1db3e;market for maintenance, intermodal shipping container, 20-foot;unit;GLO;ecoinvent_3.9.1_cutoff;3315;Repair of transport equipment, except motor vehicles;87149;Maintenance and repair services of other transport equipment;;
market activity;ammonium thiocyanate;19491c1e22a309caedebc2cf3bd5f053;market for ammonium thiocyanate;kilogram;GLO;ecoinvent_3.9.1_cutoff;2011;Manufacture of basic chemicals;34270;"Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]";Chemical;Chemical products
market activity;shale;9e5c4ba091bbe4d075b90ca91eac6c5a;market for shale;kilogram;GLO;ecoinvent_3.9.1_cutoff;810;Quarrying of stone, sand and clay;15;Stone, sand and clay;OreMinFuel;Ores, minerals & fuels
market activity;steel removed by milling, average;744ccd13d9807c322687c4a67a341826;market for steel removed by milling, average;kilogram;GLO;ecoinvent_3.9.1_cutoff;2592;"Treatment and coating of metals; machining";39310;Slag, dross, scalings and other waste from the manufacture of iron or steel;AgriForeAnim;Agricultural and forestry products
market activity;heating and sanitary equipment, heat and power co-generation unit, 160kW electrical;29e4948a178c0f5fc5c87ecb0721f8d7;market for heating and sanitary equipment, heat and power co-generation unit, 160kW electrical;unit;GLO;ecoinvent_3.9.1_cutoff;4220;Construction of utility projects;53262;Power plants;;
